PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P566
Station name, Visalia_MYCS2005
Begin Date, 2005-11-16
End Date, 2023-04-15
Release Date, 2023-04-16
Source file, P566.cwu.nam14.pos
Offset from source file, 57.23 mm North, -67.12 mm East, -73.81 mm Vertical
Reference position, 36.3244546368 North Latitude, -119.2292875535 East Longitude, 78.15511 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-11-16,0.00, 0.00, 0.00, 2.11, 1.71, 7.7, repro,
2005-11-17,0.26, -1.83, 0.44, 2.02, 1.61, 7.36, repro,
2005-11-18,0.03, -0.64, 5.36, 2, 1.62, 7.35, repro,
2005-11-19,0.38, -0.86, 4.61, 2.02, 1.62, 7.37, repro,
2005-11-20,-0.15, -1.14, -3.28, 2.04, 1.65, 7.46, repro,
2005-11-21,0.03, -1.97, 6.72, 2.14, 1.69, 7.86, repro,
2005-11-22,-0.11, -1.50, 4.15, 2.1, 1.73, 7.77, repro,
2005-11-23,0.19, -1.34, 8.37, 2.04, 1.65, 7.45, repro,
2005-11-24,-0.86, -0.92, 6.16, 2.01, 1.63, 7.42, repro,
2005-11-25,0.15, -1.79, 7.54, 2.05, 1.67, 7.55, repro,
2005-11-26,0.94, -2.70, 6.18, 2.15, 1.75, 7.9, repro,
2005-11-27,-0.08, -1.10, 8.38, 2.07, 1.67, 7.59, repro,
2005-11-28,0.65, -0.68, 1.61, 2.11, 1.73, 7.8, repro,
2005-11-29,0.08, -1.53, 6.90, 2.06, 1.67, 7.53, repro,
2005-11-30,0.78, -1.12, 4.69, 2.06, 1.7, 7.61, repro,
2005-12-01,-0.11, -1.36, 2.95, 2.04, 1.64, 7.42, repro,
2005-12-02,-0.72, -1.87, 1.34, 2.05, 1.65, 7.45, repro,
2005-12-03,0.42, -1.69, 2.01, 2.05, 1.64, 7.42, repro,
2005-12-04,0.88, -0.64, -0.75, 2.04, 1.65, 7.41, repro,
2005-12-05,0.27, -1.19, -2.35, 2.04, 1.66, 7.44, repro,
2005-12-06,-0.02, -1.52, -2.79, 2.08, 1.63, 7.47, repro,
2005-12-07,0.16, -1.58, -1.53, 2.06, 1.68, 7.54, repro,
2005-12-08,-0.15, -1.86, 3.74, 2.08, 1.69, 7.63, repro,
2005-12-09,2.26, -1.10, -1.42, 2.07, 1.65, 7.52, repro,
2005-12-10,-0.31, -1.66, 0.53, 2.04, 1.65, 7.44, repro,
2005-12-11,0.24, -2.09, 5.62, 2.01, 1.61, 7.31, repro,
2005-12-12,0.91, -1.48, -2.49, 2.01, 1.61, 7.32, repro,
2005-12-13,-0.06, -1.51, 8.01, 2.02, 1.61, 7.35, repro,
2005-12-14,1.49, -1.63, -1.20, 2.04, 1.64, 7.42, repro,
2005-12-15,0.82, -2.60, -1.10, 2.1, 1.68, 7.65, repro,
2005-12-16,0.35, -2.89, 4.54, 2.02, 1.61, 7.37, repro,
2005-12-17,0.67, -2.89, 5.64, 2.1, 1.73, 7.67, repro,
2005-12-18,1.04, -2.90, 8.78, 2.04, 1.75, 7.46, repro,
2005-12-19,0.86, -1.48, -0.38, 2.21, 1.81, 7.93, repro,
2005-12-20,2.02, -0.52, -4.88, 2.08, 1.74, 7.58, repro,
2005-12-21,1.35, -1.62, 2.35, 2.07, 1.76, 7.58, repro,
2005-12-22,1.76, -2.33, 5.46, 2.09, 1.81, 7.65, repro,
2005-12-23,1.43, -2.83, 2.07, 2.11, 1.75, 7.61, repro,
2005-12-24,0.84, -2.62, 3.59, 2.24, 1.87, 8.12, repro,
2005-12-25,0.67, -1.82, 4.61, 2.08, 1.71, 7.53, repro,
2005-12-26,1.13, -2.08, 11.83, 2.25, 1.85, 8.05, repro,
2005-12-27,1.70, -2.55, 4.14, 2.19, 1.8, 8.04, repro,
2005-12-28,-0.76, -2.70, -4.13, 2.06, 1.67, 7.42, repro,
2005-12-29,1.40, -2.17, 2.00, 2.21, 1.83, 8.15, repro,
2005-12-30,0.04, -1.61, 9.99, 2.24, 1.84, 8.15, repro,
2005-12-31,1.47, -2.61, 10.84, 2.18, 1.78, 7.93, repro,
2006-01-01,2.37, -2.75, 4.95, 2.19, 1.8, 8.02, repro,
2006-01-02,0.65, -2.49, 7.68, 2.11, 1.68, 7.51, repro,
2006-01-03,1.98, -2.50, 4.52, 2.32, 2.02, 8.48, repro,
2006-01-04,1.91, -1.75, -0.37, 2.26, 1.96, 8.32, repro,
2006-01-05,2.94, -1.34, -4.20, 2.13, 1.78, 7.71, repro,
2006-01-06,3.18, -2.48, -0.51, 2.26, 1.85, 8.17, repro,
2006-01-07,2.53, -2.45, 7.56, 2.09, 1.72, 7.55, repro,
2006-01-08,2.75, -2.19, -3.81, 2.12, 1.77, 7.64, repro,
2006-01-09,1.72, -2.31, 3.95, 2.17, 1.81, 7.97, repro,
2006-01-10,2.38, -1.67, 0.31, 2.18, 1.82, 7.92, repro,
2006-01-11,3.17, -2.32, 3.76, 2.19, 1.81, 7.92, repro,
2006-01-12,2.87, -3.22, 5.14, 2.15, 1.79, 7.72, repro,
2006-01-13,2.33, -1.73, 3.16, 2.28, 1.92, 8.4, repro,
2006-01-14,2.89, -2.83, 1.91, 2.12, 1.68, 7.65, repro,
2006-01-15,1.99, -2.37, 6.48, 2.04, 1.64, 7.34, repro,
2006-01-16,3.06, -3.39, 0.20, 2.17, 1.82, 7.73, repro,
2006-01-17,3.30, -2.84, -1.13, 2.15, 1.77, 7.71, repro,
2006-01-18,4.53, -2.76, 0.39, 2.07, 1.66, 7.49, repro,
2006-01-19,1.96, -1.96, 4.47, 2.11, 1.65, 7.66, repro,
2006-01-20,1.65, -2.74, -7.51, 2.07, 1.64, 7.53, repro,
2006-01-21,3.42, -2.08, -2.90, 2.06, 1.65, 7.38, repro,
2006-01-22,2.73, -2.66, -3.82, 2.05, 1.61, 7.28, repro,
2006-01-23,3.18, -3.05, -0.88, 2.11, 1.67, 7.5, repro,
2006-01-24,2.74, -2.17, -5.22, 2.09, 1.64, 7.53, repro,
2006-01-25,2.30, -1.99, -4.03, 1.96, 1.57, 7.13, repro,
2006-01-26,2.37, -3.36, -7.13, 1.98, 1.58, 7.18, repro,
2006-01-27,2.95, -3.43, -2.77, 1.99, 1.58, 7.17, repro,
2006-01-28,2.38, -3.02, -6.68, 1.98, 1.57, 7.17, repro,
2006-01-29,2.78, -1.53, -7.49, 1.99, 1.58, 7.22, repro,
2006-01-30,2.28, -2.07, -7.29, 2.01, 1.59, 7.35, repro,
2006-01-31,2.64, -2.70, -2.46, 2, 1.59, 7.31, repro,
2006-02-01,2.73, -3.68, -4.16, 2.02, 1.59, 7.33, repro,
2006-02-02,3.53, -2.50, -0.53, 2, 1.58, 7.3, repro,
2006-02-03,3.03, -3.28, -0.76, 2.06, 1.64, 7.46, repro,
2006-02-04,2.90, -3.92, 0.11, 2.04, 1.62, 7.43, repro,
2006-02-05,1.89, -3.33, -4.73, 2, 1.57, 7.32, repro,
2006-02-06,2.39, -2.90, -8.53, 2.05, 1.64, 7.49, repro,
2006-02-07,4.24, -2.47, -9.23, 2.05, 1.64, 7.5, repro,
2006-02-08,3.91, -3.17, -11.12, 1.98, 1.56, 7.21, repro,
2006-02-09,3.21, -3.25, -7.80, 2.07, 1.58, 7.5, repro,
2006-02-10,2.78, -2.90, -9.92, 2.14, 1.59, 7.58, repro,
2006-02-11,2.29, -2.25, -13.46, 2.02, 1.58, 7.36, repro,
2006-02-12,3.63, -2.64, -12.01, 2.02, 1.58, 7.37, repro,
2006-02-13,3.47, -3.14, -6.88, 2.07, 1.62, 7.53, repro,
2006-02-14,2.71, -3.19, -0.65, 2, 1.57, 7.38, repro,
2006-02-15,2.16, -3.76, -0.33, 1.98, 1.55, 7.24, repro,
2006-02-16,3.03, -3.72, -5.92, 2, 1.55, 7.25, repro,
2006-02-17,3.28, -3.63, -3.57, 2.02, 1.58, 7.36, repro,
2006-02-18,3.20, -3.57, -6.63, 2.01, 1.59, 7.35, repro,
2006-02-19,2.71, -3.07, -6.82, 2.02, 1.58, 7.36, repro,
2006-02-20,3.37, -2.99, -2.53, 1.99, 1.56, 7.25, repro,
2006-02-21,3.36, -3.85, -2.51, 1.99, 1.56, 7.24, repro,
2006-02-22,3.98, -2.51, 1.19, 2.01, 1.57, 7.3, repro,
2006-02-23,3.63, -2.82, -4.82, 2.04, 1.62, 7.46, repro,
2006-02-24,3.25, -3.38, -4.79, 2.01, 1.59, 7.35, repro,
2006-02-25,3.39, -2.85, -5.20, 2.01, 1.58, 7.3, repro,
2006-02-26,1.85, -3.40, -4.43, 2, 1.59, 7.39, repro,
2006-02-27,3.00, -3.82, -3.91, 2.01, 1.61, 7.39, repro,
2006-02-28,3.53, -1.87, -3.77, 2.04, 1.62, 7.45, repro,
2006-03-01,3.70, -3.17, -5.62, 2.11, 1.7, 7.67, repro,
2006-03-02,3.21, -3.56, -4.96, 2, 1.6, 7.33, repro,
2006-03-03,3.45, -3.52, -0.78, 2.08, 1.61, 7.62, repro,
2006-03-04,3.57, -3.98, -8.53, 1.98, 1.6, 7.26, repro,
2006-03-05,4.17, -3.32, -2.10, 1.99, 1.59, 7.3, repro,
2006-03-06,4.69, -2.47, -10.69, 1.98, 1.6, 7.3, repro,
2006-03-07,5.10, -3.73, 0.41, 1.99, 1.59, 7.32, repro,
2006-03-08,3.67, -2.76, 1.68, 1.98, 1.59, 7.27, repro,
2006-03-09,4.02, -4.47, 4.39, 1.98, 1.59, 7.27, repro,
2006-03-10,3.09, -4.58, 4.46, 1.99, 1.59, 7.32, repro,
2006-03-11,4.25, -3.71, 4.48, 2.02, 1.61, 7.4, repro,
2006-03-12,4.33, -4.06, -4.60, 2.01, 1.6, 7.34, repro,
2006-03-13,4.07, -3.62, -4.78, 2.01, 1.6, 7.29, repro,
2006-03-14,3.36, -3.63, 0.65, 2.03, 1.62, 7.42, repro,
2006-03-15,3.74, -3.48, -6.97, 2.02, 1.62, 7.46, repro,
2006-03-16,3.27, -3.94, -14.37, 2.08, 1.65, 7.54, repro,
2006-03-17,4.92, -4.38, -2.82, 2.07, 1.66, 7.54, repro,
2006-03-18,4.78, -4.83, -9.44, 2.01, 1.62, 7.32, repro,
2006-03-19,3.16, -4.01, -3.15, 1.99, 1.62, 7.28, repro,
2006-03-20,3.74, -4.80, -6.27, 2, 1.64, 7.35, repro,
2006-03-21,4.53, -3.56, -5.20, 2.01, 1.64, 7.44, repro,
2006-03-22,4.61, -4.17, -9.82, 2.02, 1.65, 7.44, repro,
2006-03-23,4.04, -4.25, -11.07, 2.07, 1.65, 7.56, repro,
2006-03-24,4.85, -3.75, -9.47, 2.07, 1.65, 7.57, repro,
2006-03-25,5.42, -3.63, 5.47, 2.08, 1.68, 7.66, repro,
2006-03-26,4.23, -4.07, -5.29, 2.06, 1.66, 7.56, repro,
2006-03-27,3.61, -5.29, -0.40, 2.08, 1.68, 7.67, repro,
2006-03-28,5.80, -4.30, 3.73, 2, 1.65, 7.45, repro,
2006-03-29,5.06, -5.71, -1.86, 1.94, 1.61, 7.26, repro,
2006-03-30,3.73, -4.71, -0.79, 1.93, 1.59, 7.18, repro,
2006-03-31,4.85, -5.30, -4.11, 1.96, 1.61, 7.29, repro,
2006-04-01,5.22, -5.35, 0.67, 1.96, 1.61, 7.33, repro,
2006-04-02,5.03, -4.11, -4.29, 1.97, 1.61, 7.32, repro,
2006-04-03,4.23, -4.70, -4.86, 1.95, 1.61, 7.27, repro,
2006-04-04,5.19, -5.58, -1.77, 1.96, 1.61, 7.37, repro,
2006-04-05,4.41, -4.90, 2.20, 1.98, 1.65, 7.54, repro,
2006-04-06,5.96, -5.96, -5.21, 1.98, 1.65, 7.47, repro,
2006-04-07,4.73, -4.80, -8.56, 2.05, 1.66, 7.58, repro,
2006-04-08,5.58, -5.18, -3.60, 2.09, 1.64, 7.7, repro,
2006-04-09,6.06, -5.11, -9.72, 1.95, 1.61, 7.34, repro,
2006-04-10,5.69, -5.76, -1.07, 1.94, 1.6, 7.28, repro,
2006-04-11,5.67, -5.46, 4.99, 2.02, 1.64, 7.66, repro,
2006-04-12,5.83, -4.43, -1.96, 2.02, 1.64, 7.62, repro,
2006-04-13,5.77, -4.92, -4.08, 1.96, 1.61, 7.34, repro,
2006-04-14,5.15, -4.70, -5.56, 1.95, 1.61, 7.31, repro,
2006-04-15,5.03, -4.51, -2.29, 2, 1.62, 7.41, repro,
2006-04-16,5.60, -4.88, -1.25, 1.95, 1.6, 7.33, repro,
2006-04-17,5.46, -5.22, -1.67, 1.95, 1.61, 7.35, repro,
2006-04-18,6.51, -5.94, -7.23, 1.97, 1.65, 7.5, repro,
2006-04-19,6.46, -4.91, -8.99, 1.96, 1.62, 7.35, repro,
2006-04-20,5.61, -5.24, -8.14, 1.97, 1.64, 7.45, repro,
2006-04-21,5.31, -5.64, -3.06, 1.95, 1.6, 7.31, repro,
2006-04-22,5.76, -5.40, 0.94, 1.98, 1.65, 7.48, repro,
2006-04-23,6.14, -6.09, -5.95, 1.99, 1.66, 7.52, repro,
2006-04-24,5.97, -5.51, -10.31, 1.98, 1.65, 7.47, repro,
2006-04-25,5.59, -5.78, -6.80, 1.98, 1.66, 7.48, repro,
2006-04-26,5.26, -5.68, -9.14, 2, 1.66, 7.56, repro,
2006-04-27,5.03, -5.94, -3.68, 2.05, 1.66, 7.56, repro,
2006-04-28,5.66, -6.11, -10.05, 2.02, 1.61, 7.42, repro,
2006-04-29,6.28, -5.28, -6.65, 1.95, 1.61, 7.36, repro,
2006-04-30,6.65, -4.88, -9.90, 1.96, 1.62, 7.36, repro,
2006-05-01,6.28, -4.94, -12.01, 1.96, 1.61, 7.34, repro,
2006-05-02,6.19, -7.84, -3.94, 1.97, 1.61, 7.43, repro,
2006-05-03,5.93, -7.34, -5.42, 1.98, 1.61, 7.43, repro,
2006-05-04,5.94, -6.05, -5.25, 1.96, 1.6, 7.35, repro,
2006-05-05,6.19, -5.99, -11.59, 1.95, 1.61, 7.35, repro,
2006-05-06,6.50, -6.59, -9.75, 1.96, 1.61, 7.35, repro,
2006-05-07,5.48, -6.04, -5.88, 1.96, 1.6, 7.33, repro,
2006-05-08,6.72, -7.31, -9.93, 1.98, 1.61, 7.47, repro,
2006-05-09,5.60, -6.55, -2.94, 2.03, 1.62, 7.54, repro,
2006-05-10,5.18, -6.11, -6.16, 1.95, 1.62, 7.39, repro,
2006-05-11,5.62, -6.57, -7.01, 1.96, 1.62, 7.39, repro,
2006-05-12,4.99, -7.32, -7.65, 1.95, 1.61, 7.3, repro,
2006-05-13,4.95, -6.17, -7.16, 2.05, 1.65, 7.8, repro,
2006-05-14,6.44, -6.70, -7.09, 1.96, 1.61, 7.42, repro,
2006-05-15,5.67, -6.25, -9.44, 1.96, 1.6, 7.38, repro,
2006-05-16,5.50, -5.84, -6.45, 2, 1.66, 7.52, repro,
2006-05-17,5.14, -6.62, 0.26, 1.99, 1.66, 7.51, repro,
2006-05-18,4.17, -5.99, 3.42, 1.97, 1.61, 7.35, repro,
2006-05-19,5.00, -5.81, 0.83, 2.11, 1.66, 7.78, repro,
2006-05-20,5.48, -7.36, 1.61, 2.05, 1.62, 7.59, repro,
2006-05-21,5.00, -6.86, -4.57, 2.1, 1.65, 7.65, repro,
2006-05-22,4.78, -5.82, 2.19, 2.04, 1.68, 7.6, repro,
2006-05-23,5.45, -5.44, -3.14, 2.03, 1.63, 7.49, repro,
2006-05-24,3.69, -7.28, -3.27, 2.02, 1.62, 7.49, repro,
2006-05-25,6.11, -6.20, -1.62, 2.16, 1.67, 7.87, repro,
2006-05-26,6.28, -6.52, -2.13, 2.11, 1.64, 7.73, repro,
2006-05-27,4.03, -7.37, 0.21, 2.03, 1.63, 7.49, repro,
2006-05-28,5.10, -5.56, 0.87, 2.06, 1.67, 7.67, repro,
2006-05-29,5.22, -6.00, -7.01, 2.05, 1.65, 7.61, repro,
2006-05-30,6.03, -6.89, 1.91, 2.07, 1.65, 7.62, repro,
2006-05-31,5.49, -6.96, -5.84, 2.12, 1.68, 7.72, repro,
2006-06-01,5.37, -8.07, -9.16, 2.07, 1.66, 7.64, repro,
2006-06-02,5.07, -7.35, -6.01, 2.17, 1.72, 7.92, repro,
2006-06-03,4.37, -5.59, -5.09, 2.11, 1.7, 7.81, repro,
2006-06-04,6.24, -6.42, -5.90, 2.09, 1.66, 7.73, repro,
2006-06-05,6.30, -7.54, 0.62, 2.12, 1.68, 7.74, repro,
2006-06-06,5.53, -6.75, 1.27, 2.1, 1.64, 7.62, repro,
2006-06-07,7.07, -7.53, -8.84, 2.09, 1.65, 7.64, repro,
2006-06-08,4.68, -6.50, -3.91, 2.04, 1.64, 7.58, repro,
2006-06-09,3.80, -7.03, -3.14, 2.11, 1.7, 7.8, repro,
2006-06-10,6.05, -6.54, -6.61, 2.12, 1.69, 7.78, repro,
2006-06-11,5.57, -7.74, -0.88, 2.06, 1.64, 7.56, repro,
2006-06-12,5.39, -7.13, -1.31, 2.1, 1.71, 7.74, repro,
2006-06-13,7.07, -6.15, -4.13, 2.08, 1.66, 7.65, repro,
2006-06-14,5.98, -7.43, -2.17, 2.03, 1.64, 7.54, repro,
2006-06-15,5.83, -6.92, 0.96, 2.06, 1.65, 7.65, repro,
2006-06-16,5.93, -7.60, -0.07, 2.06, 1.64, 7.61, repro,
2006-06-17,7.13, -6.93, -1.55, 2.03, 1.61, 7.43, repro,
2006-06-18,6.10, -9.09, 0.80, 2.06, 1.66, 7.72, repro,
2006-06-19,6.30, -6.82, -6.39, 2.06, 1.69, 7.82, repro,
2006-06-20,5.65, -6.23, -1.56, 2.06, 1.66, 7.72, repro,
2006-06-21,5.90, -6.72, 4.15, 2.06, 1.66, 7.71, repro,
2006-06-22,5.81, -8.24, 8.27, 2.06, 1.66, 7.68, repro,
2006-06-23,5.67, -7.71, -2.96, 2.05, 1.66, 7.68, repro,
2006-06-24,6.53, -8.21, -7.97, 2.07, 1.69, 7.83, repro,
2006-06-25,7.13, -8.04, -6.24, 2.07, 1.69, 7.84, repro,
2006-06-26,5.94, -8.66, -1.18, 2.06, 1.67, 7.78, repro,
2006-06-27,2.90, -8.52, 7.92, 2.07, 1.67, 7.75, repro,
2006-06-28,7.06, -8.49, -3.94, 2.05, 1.66, 7.7, repro,
2006-06-29,5.36, -7.83, 0.80, 2.01, 1.7, 7.72, repro,
2006-06-30,6.64, -7.79, 1.21, 2.03, 1.64, 7.68, repro,
2006-07-01,5.62, -7.90, 4.71, 2.02, 1.62, 7.59, repro,
2006-07-02,5.15, -6.59, -8.57, 2.05, 1.67, 7.78, repro,
2006-07-03,6.70, -8.05, -9.09, 2, 1.62, 7.57, repro,
2006-07-04,5.73, -8.19, -3.32, 2.09, 1.7, 7.84, repro,
2006-07-05,5.94, -7.23, 2.21, 2.02, 1.64, 7.64, repro,
2006-07-06,6.47, -7.44, -6.98, 2.02, 1.62, 7.56, repro,
2006-07-07,5.57, -8.22, -10.14, 2.03, 1.63, 7.7, repro,
2006-07-08,6.04, -7.88, -10.21, 2.02, 1.63, 7.67, repro,
2006-07-09,6.28, -8.82, -11.15, 2.02, 1.63, 7.66, repro,
2006-07-10,6.62, -7.82, -4.21, 2.02, 1.64, 7.65, repro,
2006-07-11,6.65, -8.31, 1.11, 2.02, 1.63, 7.65, repro,
2006-07-12,4.77, -8.15, -3.63, 2.03, 1.63, 7.68, repro,
2006-07-13,5.10, -8.52, -2.20, 2.04, 1.63, 7.71, repro,
2006-07-14,6.45, -7.90, -4.80, 2.02, 1.63, 7.67, repro,
2006-07-15,5.29, -7.58, -4.20, 2.02, 1.63, 7.66, repro,
2006-07-16,6.53, -8.41, -4.99, 2.02, 1.64, 7.7, repro,
2006-07-17,6.49, -7.89, -2.46, 2.05, 1.67, 7.93, repro,
2006-07-18,4.62, -7.22, 9.74, 1.97, 1.61, 7.42, repro,
2006-07-19,5.64, -9.71, -0.91, 1.97, 1.61, 7.41, repro,
2006-07-20,5.32, -7.77, -8.17, 2, 1.67, 7.56, repro,
2006-07-21,7.31, -8.68, -8.99, 1.95, 1.62, 7.39, repro,
2006-07-22,7.29, -8.77, -1.08, 1.95, 1.6, 7.37, repro,
2006-07-23,5.01, -7.42, 5.47, 1.98, 1.62, 7.44, repro,
2006-07-24,7.03, -8.03, 6.37, 1.99, 1.64, 7.47, repro,
2006-07-25,8.52, -9.60, 2.01, 1.97, 1.61, 7.41, repro,
2006-07-26,7.03, -8.77, -1.33, 2, 1.68, 7.56, repro,
2006-07-27,7.36, -7.95, -3.80, 1.95, 1.61, 7.35, repro,
2006-07-28,6.71, -8.16, -3.14, 1.96, 1.61, 7.44, repro,
2006-07-29,5.12, -7.20, -4.05, 2.05, 1.71, 7.73, repro,
2006-07-30,7.28, -9.23, 4.37, 2, 1.66, 7.54, repro,
2006-07-31,6.19, -9.62, 2.72, 1.95, 1.61, 7.35, repro,
2006-08-01,6.76, -8.50, -0.14, 1.94, 1.61, 7.34, repro,
2006-08-02,6.42, -8.97, -1.12, 2.02, 1.71, 7.82, repro,
2006-08-03,6.91, -8.73, -1.03, 2.03, 1.71, 7.84, repro,
2006-08-04,6.97, -9.50, -3.32, 2.04, 1.67, 7.73, repro,
2006-08-05,5.70, -8.73, -0.63, 2.03, 1.71, 7.82, repro,
2006-08-06,5.62, -9.53, -0.83, 1.99, 1.66, 7.67, repro,
2006-08-07,7.48, -8.18, -0.30, 2.01, 1.66, 7.71, repro,
2006-08-08,7.92, -9.47, -4.88, 2.01, 1.67, 7.57, repro,
2006-08-09,6.59, -7.89, -4.72, 2.01, 1.66, 7.59, repro,
2006-08-10,8.80, -9.30, -3.94, 2, 1.66, 7.53, repro,
2006-08-11,7.13, -8.68, -5.00, 1.97, 1.62, 7.41, repro,
2006-08-12,7.25, -8.56, -4.29, 1.97, 1.63, 7.44, repro,
2006-08-13,6.76, -9.30, 2.64, 2.01, 1.67, 7.58, repro,
2006-08-14,6.11, -9.20, 2.95, 2, 1.67, 7.54, repro,
2006-08-15,5.71, -7.94, 4.57, 2.07, 1.68, 7.66, repro,
2006-08-16,7.17, -8.83, -4.06, 2.03, 1.64, 7.56, repro,
2006-08-17,6.15, -8.39, 0.13, 1.99, 1.67, 7.51, repro,
2006-08-18,7.03, -8.33, -1.94, 2.04, 1.73, 7.74, repro,
2006-08-19,6.80, -8.74, -2.17, 1.95, 1.62, 7.37, repro,
2006-08-20,7.02, -8.78, -3.21, 1.95, 1.61, 7.33, repro,
2006-08-21,7.18, -8.25, -6.91, 1.96, 1.64, 7.41, repro,
2006-08-22,6.85, -9.11, -7.26, 1.97, 1.64, 7.45, repro,
2006-08-23,7.10, -8.34, 1.54, 1.98, 1.65, 7.45, repro,
2006-08-24,6.34, -9.06, 5.86, 1.98, 1.64, 7.46, repro,
2006-08-25,6.16, -7.74, 8.04, 2, 1.69, 7.7, repro,
2006-08-26,7.59, -8.75, 5.79, 2.02, 1.71, 7.77, repro,
2006-08-27,7.04, -8.99, -1.02, 2.02, 1.72, 7.81, repro,
2006-08-28,7.38, -9.58, -6.36, 2.04, 1.73, 7.83, repro,
2006-08-29,7.59, -7.79, -5.07, 2.04, 1.73, 7.87, repro,
2006-08-30,7.91, -7.72, -2.23, 2.17, 1.82, 8.28, repro,
2006-08-31,7.38, -8.99, -10.83, 2.04, 1.73, 7.86, repro,
2006-09-01,8.05, -9.07, -8.30, 2.07, 1.75, 7.95, repro,
2006-09-02,6.50, -9.83, -7.62, 2.03, 1.72, 7.8, repro,
2006-09-03,6.57, -8.30, -5.43, 2.03, 1.74, 7.86, repro,
2006-09-04,8.28, -8.60, -6.65, 2.09, 1.77, 8.07, repro,
2006-09-05,8.06, -9.26, -8.83, 2.09, 1.77, 8.03, repro,
2006-09-06,8.07, -9.53, -4.90, 2.03, 1.73, 7.85, repro,
2006-09-07,7.18, -8.89, 0.07, 2.06, 1.77, 7.96, repro,
2006-09-08,7.88, -9.38, -2.14, 2.07, 1.79, 8.02, repro,
2006-09-09,8.77, -10.31, -1.40, 2.01, 1.69, 7.62, repro,
2006-09-10,8.64, -9.26, -4.48, 2, 1.7, 7.66, repro,
2006-09-11,7.27, -8.94, -1.25, 2.01, 1.68, 7.59, repro,
2006-09-12,7.94, -10.21, -0.90, 1.99, 1.67, 7.5, repro,
2006-09-13,7.73, -9.40, 1.41, 2, 1.68, 7.57, repro,
2006-09-14,8.59, -9.58, 0.09, 2.11, 1.78, 7.93, repro,
2006-09-15,7.93, -11.52, 5.55, 2.06, 1.67, 7.67, repro,
2006-09-16,8.18, -10.10, 2.15, 1.98, 1.65, 7.49, repro,
2006-09-17,7.93, -9.57, 0.89, 1.97, 1.63, 7.4, repro,
2006-09-18,7.74, -10.19, -1.24, 1.97, 1.64, 7.45, repro,
2006-09-19,7.79, -10.96, -0.13, 1.97, 1.63, 7.38, repro,
2006-09-20,7.72, -9.86, -1.70, 1.98, 1.64, 7.45, repro,
2006-09-21,8.04, -10.02, 1.05, 2, 1.69, 7.62, repro,
2006-09-22,8.21, -9.85, 0.88, 2.09, 1.73, 7.8, repro,
2006-09-23,7.37, -10.64, -4.77, 2.02, 1.68, 7.63, repro,
2006-09-24,8.63, -10.96, -2.19, 2.15, 1.75, 8.17, repro,
2006-09-25,9.06, -10.16, -1.23, 2.12, 1.74, 8.03, repro,
2006-09-26,8.09, -10.25, 1.92, 2.04, 1.66, 7.56, repro,
2006-09-27,8.90, -10.06, -3.93, 2.1, 1.77, 7.93, repro,
2006-09-28,8.50, -10.48, -3.95, 2.08, 1.72, 7.74, repro,
2006-09-29,7.78, -10.97, -1.01, 2.06, 1.7, 7.67, repro,
2006-09-30,7.26, -11.53, 6.20, 2.01, 1.68, 7.62, repro,
2006-10-01,9.26, -10.30, -2.81, 2, 1.66, 7.55, repro,
2006-10-02,9.36, -11.56, 2.15, 2.07, 1.74, 7.78, repro,
2006-10-03,8.86, -9.35, -6.89, 2.13, 1.8, 7.96, repro,
2006-10-04,8.91, -10.67, -0.92, 2.03, 1.68, 7.61, repro,
2006-10-05,9.27, -11.46, -3.53, 2.05, 1.68, 7.81, repro,
2006-10-06,8.78, -11.09, -3.32, 2.04, 1.67, 7.78, repro,
2006-10-07,9.59, -10.40, -10.94, 2.07, 1.72, 7.92, repro,
2006-10-08,8.37, -9.71, -2.09, 2.09, 1.74, 8.05, repro,
2006-10-09,9.49, -11.55, -7.68, 2.18, 1.85, 8.45, repro,
2006-10-10,7.48, -11.09, -4.45, 2.01, 1.67, 7.61, repro,
2006-10-11,7.77, -11.25, -0.30, 2.03, 1.74, 7.85, repro,
2006-10-12,8.67, -10.68, 3.26, 2.03, 1.67, 7.65, repro,
2006-10-13,9.42, -10.81, 1.61, 2, 1.67, 7.6, repro,
2006-10-14,10.07, -10.84, -3.89, 2.02, 1.77, 7.95, repro,
2006-10-15,9.25, -10.49, 6.82, 2.02, 1.71, 7.75, repro,
2006-10-16,9.05, -10.50, 6.74, 2, 1.67, 7.58, repro,
2006-10-17,9.19, -12.14, 2.76, 2.06, 1.73, 7.91, repro,
2006-10-18,9.07, -9.20, -4.03, 1.99, 1.69, 7.65, repro,
2006-10-19,8.85, -10.08, -1.04, 2.17, 1.76, 8.35, repro,
2006-10-20,8.82, -11.29, -0.65, 2.23, 1.91, 9.08, repro,
2006-10-21,7.77, -11.62, -1.84, 2.13, 1.77, 8.31, repro,
2006-10-22,8.89, -11.98, -5.02, 1.98, 1.72, 7.7, repro,
2006-10-23,8.87, -12.15, -4.44, 2.05, 1.77, 7.95, repro,
2006-10-24,9.29, -10.99, -5.54, 2.06, 1.76, 7.94, repro,
2006-10-25,9.86, -10.62, -2.43, 2.05, 1.77, 7.87, repro,
