affinity,SiO2_wt_percent,TiO2_wt_percent,Al2O3_wt_percent,Fe2O3_wt_percent,FeO_wt_percent,CaO_wt_percent,MgO_wt_percent,MnO_wt_percent,K2O_wt_percent,Na2O_wt_percent,P2O5(wt%),La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Ga_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Sn_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,143Nd/144Nd,87Sr/86Sr,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb
MORB,50.2,1.54,14.67,NA,NA,10.86,8.24,0.16,0.26,2.75,0.19,6.23,NA,NA,11.65,3.59,1.31,NA,0.732,NA,NA,NA,NA,2.71,NA,NA,269,NA,NA,NA,NA,NA,NA,3.81,165.5,33.2,111,9.83,NA,NA,49.1,2.52,0.572,NA,0.422,NA,0.513147,0.70268,17.975,15.548,37.727
MORB,50.2,2.18,13.7,NA,NA,10.8,6.17,NA,0.16,2.75,NA,5.96,18.2,NA,16.7,5.24,1.73,6.42,NA,8.65,NA,5.34,NA,5.2,NA,NA,NA,NA,NA,27,NA,NA,NA,3.1,75,NA,154,NA,NA,0.106,20.4,4.3,NA,0.665,0.298,0.139,NA,NA,18.459,15.463,37.83
MORB,50.27,2.21,14.99,NA,NA,10.08,5.42,0.18,0.85,3.81,0.35,18.1,41.3,NA,22.5,5.55,1.88,NA,0.92,NA,NA,NA,NA,3.38,0.52,37,285,69,44,36,61,95,17.6,16.5,279,35,190,24,NA,NA,167,NA,NA,NA,NA,NA,0.51294,0.70311,NA,NA,NA
MORB,50.5,2.03,13.64,12.34,NA,10.76,6.63,0.203,0.227,2.9,0.204,5.04,15.44,NA,14.07,4.7,1.66,6.38,NA,7.47,NA,4.66,NA,4.73,0.689,41.2,371,109,NA,50.6,56.6,NA,NA,NA,116,45.8,153,NA,NA,NA,8.23,NA,NA,NA,NA,NA,NA,0.70415,NA,NA,NA
MORB,50.56,1.67,15.3,NA,NA,11.31,7.55,0.17,0.1,2.6,0.14,3.21,11.1,NA,NA,3.85,1.39,NA,0.94,NA,NA,NA,NA,3.73,0.57,38.8,NA,290,NA,110,NA,NA,NA,NA,110,NA,160,NA,NA,NA,NA,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.6,1.16,15.2,NA,NA,12.38,8.6,0.15,0.12,2.76,0.11,2.2,NA,NA,6.78,2.47,1.13,NA,0.609,NA,NA,NA,NA,2.46,NA,NA,248,NA,NA,NA,NA,NA,NA,0.588,117.6,27.7,76,2.09,NA,NA,6.6,2.05,0.12,NA,0.093,NA,0.513202,0.702301,17.989,15.476,37.417
MORB,50.6,1.28,14.9,NA,NA,11.94,8.2,0.15,0.14,2.59,0.13,2.73,NA,NA,6.59,2.09,1.19,NA,0.641,NA,NA,NA,NA,2.36,NA,NA,250,NA,NA,NA,NA,NA,NA,0.383,121.9,28,95,2.25,NA,NA,9.4,2.26,0.151,NA,0.11,NA,0.513173,0.702355,18.223,15.477,37.612
MORB,50.63,1.54,15.63,NA,NA,11.41,7.85,0.16,0.07,2.55,0.13,2.92,10.7,NA,NA,3.52,1.28,NA,0.87,NA,NA,NA,NA,3.31,0.47,36.8,NA,353,NA,120,76.5,81,NA,NA,130,33.3,150,NA,NA,NA,NA,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.63,1.51,15.62,NA,7.51,11.82,7.82,0.17,0.19,2.82,0.15,3.91,10.15,NA,NA,3.41,1.12,NA,0.76,4.51,NA,NA,NA,2.75,0.43,35,264,267,43,91,74,70,NA,3.5,142,34,107,NA,NA,NA,NA,2.47,0.18,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.64,1.21,15.27,NA,NA,12.02,8,0.15,0.05,2.53,0.1,2.23,7.7,NA,NA,2.69,1.03,NA,0.69,NA,NA,NA,NA,2.71,0.39,39.3,NA,385,NA,71,NA,NA,NA,NA,110,NA,110,NA,NA,NA,NA,2,NA,NA,0.11,NA,NA,NA,NA,NA,NA
MORB,50.68,1.43,15.39,NA,NA,11.4,8.92,0.16,0.07,2.34,0.12,2.83,9.5,NA,NA,3.28,1.16,NA,0.84,NA,NA,NA,NA,3.18,0.45,36.9,NA,473,NA,200,NA,NA,NA,NA,90,NA,120,NA,NA,NA,NA,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.95,2.06,15.11,1.3,8.93,10.45,7.27,0.15,0.56,2.61,NA,12.1,31,NA,17.6,4.81,1.73,6.1,1,NA,1.3,NA,NA,3.26,0.55,41.6,345,285,55,90,50,NA,19,23,245,47,200,NA,NA,NA,130,4.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA
MORB,51.25,2.33,15.6,10.47,NA,11.95,5,0.16,0.58,3.24,0.28,12.5,34,NA,22.8,6.4,2.06,6.8,1.26,NA,NA,NA,NA,3.1,0.46,38,NA,177,70,66,NA,NA,NA,7,345,34,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7029,NA,NA,NA
MORB,51.75,0.84,16.82,NA,NA,11.65,8.08,0.18,0.17,2.4,0.07,2.64,6.6,NA,5.013,1.63,0.78,2.18,NA,2.3,NA,1.24,NA,1.07,NA,25,153,389,46,120,67,69,NA,2.16,270.6,13.3,38,4,NA,NA,47,NA,NA,NA,NA,NA,0.512437,0.70488,NA,NA,NA
MORB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,7.7,NA,10.2,3.57,1.23,NA,0.82,NA,NA,NA,NA,3.6,NA,36.9,NA,350,40.4,134,NA,NA,NA,0.583,117.4,32.6,103,2.07,NA,NA,4,2.8,0.128,NA,0.14,0.08,0.513192,0.70246,18.307,15.486,37.747
MORB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,9.1,NA,10.89,3.77,1.38,NA,0.87,NA,NA,NA,NA,3.9,NA,38.1,NA,304,44.5,148,NA,NA,NA,1.01,129.3,33.1,110,2.29,NA,NA,3.1,3,0.156,NA,0.14,NA,0.513145,0.702699,18.412,15.492,37.885
MORB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,7.3,NA,9.44,3.34,1.23,NA,0.77,NA,NA,NA,NA,3.5,NA,38.3,NA,346,40.8,97,NA,NA,NA,0.428,118.5,29.9,92,1.47,NA,NA,NA,2.5,0.101,NA,0.1,NA,0.513178,0.70258,18.31,15.488,37.769
MORB,46.95,0.77,16.59,0.62,9.09,11.16,11.6,0.16,0.04,2.15,0.05,0.5,NA,NA,2.8,1.5,0.8,NA,0.4,NA,NA,NA,NA,3,0.34,38,NA,810,60,300,NA,NA,NA,0.22,55,NA,NA,NA,NA,0.001,1.3,NA,NA,NA,NA,NA,0.513037,0.703403,NA,NA,NA
MORB,47.5,2.02,16.86,2.89,6.45,10.96,7.98,0.15,0.78,2.69,0.33,25,NA,NA,26.5,5.3,1.8,NA,0.9,NA,NA,NA,NA,1.5,0.25,22,247,272,48,127,NA,NA,NA,9.92,495,NA,NA,NA,NA,0.113,238,NA,NA,NA,NA,NA,0.512922,0.703466,NA,NA,NA
MORB,48.18,1.84,14.58,1.7,8.79,10.87,8.94,0.17,0.71,2.39,0.32,17.4,NA,NA,17.7,4.9,1.7,NA,1,NA,NA,NA,NA,2.3,0.57,43,NA,539,53,168,NA,NA,NA,18.5,262,NA,NA,NA,NA,0.18,207,NA,NA,NA,NA,NA,0.51292,0.703584,NA,NA,NA
MORB,48.26,0.94,17.05,1.32,8.19,11.38,9.89,0.17,0.05,2.46,0.05,1.6,5.8,NA,4.1,1.9,0.9,NA,0.7,NA,NA,NA,0.51,2.4,0.34,38,192,401,50,247,NA,NA,NA,0.26,110,NA,NA,NA,NA,0.003,2.6,NA,NA,NA,NA,NA,NA,0.70266,NA,NA,NA
MORB,48.6,0.61,16.3,0.33,8.4,12.3,10.2,0.15,0.07,1.9,0.06,2.15,5.24,0.75,4.07,1.37,0.53,2.2,0.41,3.12,0.7,2.22,0.36,2.27,0.35,34,140,510,48,232,79,51,NA,NA,NA,24,31,3.02,NA,NA,20,0.8,NA,NA,0.22,0.07,NA,NA,NA,NA,NA
MORB,48.71,0.76,18.29,1.17,7.86,12.22,8.83,0.17,0.05,2.33,0.06,1.47,5.37,NA,4.17,1.73,0.74,NA,0.45,NA,NA,NA,NA,2.81,0.44,41,27,187,50,176,91,55,NA,NA,76,25,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,49,1.58,15.7,1.74,8.42,10.6,8.2,0.19,0.11,2.55,0.15,2.8,18,2.1,9,3.4,1.1,6.5,0.9,NA,1.7,4.67,0.79,3.2,0.5,42,289,473,49,154,NA,NA,NA,1.22,101,34,NA,NA,NA,0.017,8.8,NA,NA,NA,NA,NA,0.513192,0.702715,NA,NA,NA
MORB,49.02,1.46,18.04,1.58,6.22,11.51,7.85,0.13,0.08,2.92,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.404,38,240,280,26,78,73,NA,11,NA,90,30,62,NA,NA,NA,5,2.137,NA,NA,NA,NA,0.513141,0.70265,18.709,15.508,38.16
MORB,49.13,1.05,16.02,NA,NA,12.14,9.47,0.16,0.43,1.98,0.16,6.1,NA,NA,9.18,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,198,24.2,84,11.7,NA,NA,63,1.8,0.73,NA,0.69,NA,0.512914,0.702844,NA,NA,NA
MORB,49.2,2.03,16.09,2.72,7.77,10.46,6.44,0.18,0.14,3.01,0.23,5,11.8,2.1,9.7,4.3,1.7,5.5,1.19,NA,1.5,NA,0.56,3,0.69,NA,NA,NA,NA,NA,NA,NA,NA,1.14,134,33,NA,NA,NA,0.015,NA,4.68,NA,NA,0.13,0.16,0.513157,0.70285,18.499,15.618,37.934
MORB,49.27,2,13.86,13.18,NA,11.07,7,0.2,0.05,2.97,0.2,3.92,13.24,NA,12.32,4.91,1.64,5.19,NA,6.95,NA,4.24,NA,4.49,0.69,NA,380,212,40,73,NA,NA,NA,NA,116,45,123,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,49.28,1.59,15.52,1.36,9.06,11.18,7.59,0.15,0.5,2.55,0.26,NA,NA,NA,12.76,3.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,281,257,48,126,66,87,NA,8.61,193.2,34,122,15.6,NA,NA,76,NA,NA,0.707,NA,NA,0.513062,0.70291,18.271,15.484,37.977
MORB,49.29,1.48,14.28,11.79,NA,11.21,8.2,0.2,0.08,2.45,0.16,2.47,NA,NA,8.29,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,282,46,121,NA,83,NA,0.89,90.7,37,88,2.12,NA,NA,NA,NA,NA,NA,NA,NA,0.51319,0.702741,18.419,15.556,38.038
MORB,49.29,1.69,15.65,NA,NA,11.45,7.62,0.19,0.07,2.59,0.14,NA,NA,NA,8.52,3.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,323,345,43,127,62,85,NA,0.4,97.3,39,114,2,NA,NA,NA,NA,NA,0.39,NA,NA,0.513118,0.70261,18.559,15.507,38.075
MORB,49.32,1.42,16.45,NA,NA,8.95,7.77,0.12,0.15,3.55,0.17,4.8,14.6,2.34,11.8,4.09,1.2,4.61,0.76,5.16,NA,2.98,NA,2.76,NA,35,200,88,39,165,161,61,NA,1.6,150,30,123,7.3,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,18.737,15.556,38.429
MORB,49.45,1.71,15.49,1.39,9.29,10.8,7.28,0.19,0.23,3.26,0.19,3.87,15.6,NA,11.4,4.35,1.53,NA,0.97,NA,NA,NA,NA,4.4,0.67,36,252,223,46,106,50,91,NA,2.6,111,42,126,2,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,49.52,1.27,15.77,1.82,6.12,13.41,8.54,0.14,0.67,2.03,0.26,24.4,NA,NA,15.8,3.2,1.5,NA,0.9,NA,NA,NA,NA,2.7,0.27,44,NA,706,38,120,NA,NA,NA,14.4,264,NA,NA,NA,NA,0.159,205,NA,NA,NA,NA,NA,0.512835,0.703556,NA,NA,NA
MORB,49.55,2.06,15.91,NA,NA,10.97,6.92,0.17,0.62,3.33,0.25,11,28.5,NA,20.6,5.29,2.15,6.45,NA,6.57,NA,4.03,NA,3.54,0.45,NA,272,210,41,103,63,78,NA,10,287,37,155,16,NA,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,49.56,0.97,17.6,0.87,7.2,11.68,8.65,0.15,0.14,2.68,0.14,NA,6.54,NA,6.54,2.21,0.962,3.34,NA,3.79,NA,2.42,NA,2.45,0.41,50,200,300,37,130,94,NA,18,1.29,159,31,65,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,0.70304,NA,NA,NA
MORB,49.6,1.24,19.19,NA,NA,12.19,6.331,0.1,0.74,3.22,0.22,11.6,24.9,3.03,12.5,2.96,1.02,3.19,0.5,3,NA,1.65,NA,1.47,NA,25,151,347,34,111,41,55,NA,10.7,358,21,105,24,NA,NA,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,49.72,0.81,16.13,0.8,7.94,12.26,10.07,0.16,0.08,1.93,0.07,3.2,8.1,NA,5,1.8,0.8,NA,0.5,NA,NA,NA,0.41,1.9,0.25,42,224,574,49,203,NA,NA,NA,1.84,77,NA,NA,NA,NA,0.02,25,NA,NA,NA,NA,NA,0.513042,0.703014,NA,NA,NA
MORB,49.79,1.52,15.38,2.22,7.99,11.18,7.93,0.18,0.21,2.72,0.16,3.9,13.8,NA,10.4,3.6,1.5,NA,1,NA,NA,NA,0.7,4.1,0.62,45,310,285,45,139,NA,NA,NA,2.09,115,NA,NA,NA,NA,0.037,14,NA,NA,NA,NA,NA,NA,0.70264,NA,NA,NA
MORB,49.83,1.05,15.58,1.18,8.2,11.83,9.58,0.16,0.17,2.16,0.11,4.8,12.1,NA,8.4,2.7,1,NA,0.7,NA,NA,NA,0.48,2.9,0.42,42,238,598,49,195,NA,NA,NA,3.49,89,NA,NA,NA,NA,0.04,40,NA,NA,NA,NA,NA,0.513022,0.702984,NA,NA,NA
MORB,49.84,1.15,15.54,1.35,7.61,11.68,9.51,0.16,0.21,2.38,0.13,4.9,12.7,NA,8.8,2.9,1,NA,0.6,NA,NA,NA,0.43,2.1,0.37,36,232,423,45,189,NA,NA,NA,3.65,128,NA,NA,NA,NA,0.039,46,NA,NA,NA,NA,NA,0.513028,0.703198,NA,NA,NA
MORB,49.85,1.21,16.17,8.98,NA,11.66,8.6,0.15,0.085,2.86,0.113,2.24,8.34,NA,8.14,2.72,1.07,3.73,NA,4.42,NA,2.64,NA,2.55,0.3801,33.6,237,370,NA,135,68.2,NA,NA,NA,135,27.2,86.6,NA,NA,NA,6.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,49.86,1.15,15.4,1.28,8.94,12.05,7.94,0.17,0.12,2.12,0.13,4.5,NA,NA,6.7,3.5,1.3,NA,1,NA,NA,NA,NA,4.5,0.68,50,235,567,43,106,NA,NA,NA,2.55,67,NA,NA,NA,NA,0.03,27,NA,NA,NA,NA,NA,0.513129,0.702945,NA,NA,NA
MORB,49.88,1.54,14.67,1.37,10.04,11.1,7.55,0.19,0.05,2.52,0.16,3,NA,NA,9.1,3.6,1.3,NA,0.8,NA,NA,NA,NA,4.7,0.48,43,NA,262,47,86,NA,NA,NA,0.56,87,NA,NA,NA,NA,0.007,6.4,NA,NA,NA,NA,NA,0.513212,0.70257,NA,NA,NA
MORB,49.88,1.13,16.45,1.93,6.24,12.6,8.31,0.14,0.38,2.44,0.14,7.1,14.7,NA,9.4,2.7,0.9,NA,0.6,NA,NA,NA,0.36,2.4,0.27,34,244,373,38,141,NA,NA,NA,6.6,176,NA,NA,NA,NA,0.116,75,NA,NA,NA,NA,NA,0.512924,0.70308,NA,NA,NA
MORB,49.9,1.52,14.76,11.19,NA,12,7.65,0.17,0.12,2.65,0.17,3.5,10.54,NA,9.21,2.68,1.26,4.18,NA,5.06,NA,2.67,NA,3.04,0.54,NA,339,309,40,88,NA,NA,NA,NA,121,32,91,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,49.9,1.28,15.6,1.49,7.84,12.2,8.07,0.17,0.08,2.69,0.11,2.4,10,NA,7.7,2.4,0.92,3.7,NA,4.6,0.89,2.9,NA,2.6,0.41,NA,NA,315,43,92,NA,73,16,NA,133,28,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,49.94,1.18,15.39,1.07,7.07,11.96,9.32,0.14,0.31,2.17,0.17,8,18.3,NA,12.2,3.1,1.2,NA,0.7,NA,NA,NA,0.58,2.6,0.4,38,246,493,44,192,NA,NA,NA,6.28,142,NA,NA,NA,NA,0.075,76,NA,NA,NA,NA,NA,0.512984,0.703232,NA,NA,NA
MORB,49.98,1.37,16.17,1.7,6.77,13.1,7.33,0.14,0.56,2.36,0.23,16.4,37,NA,17.7,4.1,1.4,NA,0.8,NA,NA,NA,0.71,2.4,0.29,40,273,168,39,65,NA,NA,NA,14,254,NA,NA,NA,NA,0.154,184,NA,NA,NA,NA,NA,0.51289,0.703342,NA,NA,NA
MORB,50.01,0.96,16.36,0.82,7.54,11.81,9.5,0.15,0.08,2.39,0.1,2.6,7.8,NA,7.2,2.2,0.9,NA,0.6,NA,NA,NA,0.35,2,0.28,37,200,451,46,185,NA,NA,NA,1.56,106,NA,NA,NA,NA,0.021,19,NA,NA,NA,NA,NA,0.512988,0.702982,NA,NA,NA
MORB,50.01,1.84,16.09,9,NA,11.26,7.54,0.16,0.39,2.95,0.22,8.6,22.5,NA,15.1,4.59,1.61,4.85,NA,5.39,NA,3.14,NA,3.13,0.43,NA,37,251,39,99,NA,NA,NA,NA,231,255,163,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.04,1.9,14.55,1.72,9.54,10.41,7.64,0.19,0.2,2.86,0.2,5.2,15.8,NA,15,5.3,1.8,NA,1.3,NA,NA,NA,0.75,4.8,0.68,43,298,263,45,121,NA,NA,NA,1.72,98,NA,NA,NA,NA,0.034,16,NA,NA,NA,NA,NA,0.513092,0.702833,NA,NA,NA
MORB,50.05,1.85,16.57,NA,NA,10.78,5.84,0.21,1.35,3.97,0.43,29.2,53.7,6.29,24.5,5.24,1.72,5.19,0.82,4.92,NA,2.78,NA,2.47,NA,28,251,54,38,53,57,72,NA,69,414,27,169,52,NA,NA,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.08,1.27,17.8,2.44,6.4,12.45,7.06,0.16,0.07,2.2,0.1,3.23,9.5,NA,8.6,3.57,1.24,4.7,0.79,NA,NA,NA,0.47,3.06,0.4,NA,254,281,39,102,62,71,NA,3.9,117,33,90,2.8,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,18.12,15.486,37.961
MORB,50.1,1.02,16.06,1.15,7.65,12.09,8.92,0.15,0.16,2.09,0.14,6.1,10,NA,NA,NA,0.9,NA,0.51,NA,NA,NA,NA,NA,NA,34.4,212,388,50.4,174,65.4,73.4,14.7,2.5,110,22.8,56.8,6.7,NA,NA,36,1.6,0.55,NA,0.484,0.159,NA,0.7029,18.6,15.53,38.23
MORB,50.14,1.25,17.28,2.14,7.11,11.91,7.69,0.16,0.07,2.47,0.11,2.59,9.3,NA,9.1,3.51,1.24,4.8,0.78,5.6,NA,NA,0.57,3.36,0.43,NA,243,271,43,123,65,68,NA,2.2,117,34,91,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.122,15.493,38.091
MORB,50.18,1.02,15.51,0.97,8.55,12.22,9.22,0.17,0.11,1.98,0.09,3.1,7.9,NA,4.8,2.2,0.9,NA,0.6,NA,NA,NA,0.47,2.4,0.38,40,249,491,46,152,NA,NA,NA,1.96,69,NA,NA,NA,NA,0.024,24,NA,NA,NA,NA,NA,0.513075,0.703095,NA,NA,NA
MORB,50.23,1.34,15.87,2.32,7.6,11.74,8.27,0.18,0.12,2.49,0.14,3.6,10.9,NA,9.4,3.5,1.28,5.7,0.76,NA,NA,NA,0.54,3.13,0.47,NA,268,316,45,135,75,75,NA,3,114,35,95,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.29,1.87,15,1.32,8.8,10.79,8.5,0.18,0.37,2.53,0.22,8.9,21.6,NA,14.1,4.55,1.69,NA,0.95,NA,NA,NA,NA,3.52,0.47,40,275,321,49,166,65,92,NA,6.8,200,34,129,10.8,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.31,1.34,17.42,3.19,5.82,12.09,7.03,0.16,0.33,2.48,0.13,4.54,15,NA,10.9,3.65,1.38,NA,0.81,5.3,NA,NA,0.55,3.25,0.42,NA,257,258,38,104,61,67,NA,7.8,148,33,105,6.6,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,18.324,15.548,38.124
MORB,50.32,1.5,15.29,2.3,8.08,11.46,8.73,0.18,0.14,2.16,0.14,4.89,13.8,NA,11.3,3.89,1.4,6.3,0.86,NA,NA,NA,0.59,3.69,0.48,NA,316,315,46,161,74,82,NA,3.4,123,39,109,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.32,1.08,15.92,1.56,7.55,11.94,8.25,0.17,0.14,2.34,0.11,NA,8.33,NA,7.49,2.72,1.08,4.17,NA,4.9,NA,3.2,NA,3.08,0.488,60,250,350,34,93,110,NA,18,1.53,96.3,36,65,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,0.70342,NA,NA,NA
MORB,50.34,1.44,16.28,NA,NA,10.1,9.05,0.19,0.52,3.46,0.23,8.96,23.7,3.11,14.1,3.71,1.21,4.33,0.74,4.85,NA,2.8,NA,2.45,NA,33,214,309,47,186,47,65,NA,9,214,29,129,15.6,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORB,50.34,1.45,14.65,1.23,9.43,11.38,8.53,0.19,0.31,2.22,0.17,8.5,NA,NA,11.3,3.8,1.1,NA,0.8,NA,NA,NA,NA,2.9,0.44,40,311,583,47,134,NA,NA,NA,4.6,114,NA,NA,NA,NA,0.089,91,NA,NA,NA,NA,NA,0.513085,0.702868,NA,NA,NA
MORB,50.35,1.62,15.44,1.38,9.19,10.83,6.79,0.19,0.52,2.78,0.19,NA,NA,NA,11.97,3.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,296,153,50,84,57,89,NA,6.87,188,31,109,8.5,NA,NA,138,NA,NA,0.828,NA,NA,0.512808,0.7041,17.083,15.414,37.296
MORB,50.39,1.28,15.39,1.34,8.66,12.29,7.67,0.17,0.13,2.11,0.15,6,NA,NA,NA,3,0.9,NA,0.7,NA,NA,NA,NA,2.1,0.43,42,303,380,46,99,NA,NA,NA,4.1,111,NA,NA,NA,NA,0.052,49,NA,NA,NA,NA,NA,NA,0.70293,NA,NA,NA
MORB,50.4,1.36,15.19,2.23,8,11.43,8.96,0.18,0.09,2.3,0.14,2.95,12,NA,9.9,3.91,1.41,6.4,0.94,5.6,NA,NA,0.65,3.61,0.5,NA,284,346,48,177,67,80,NA,2.3,98,37,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.177,15.503,38.001
MORB,50.4,1.6,14.3,1.35,7.85,12.3,7.1,0.18,0.12,2.75,0.09,3.18,9.58,NA,9.72,3.45,1.29,4.81,0.76,5.7,NA,4.05,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.436,125,NA,NA,NA,NA,0.008,6.7,NA,NA,0.53,NA,NA,NA,0.7026,18.588,15.534,38.174
MORB,50.43,1.05,17.93,1.08,6.54,12.49,7.24,0.13,0.09,2.67,0.1,2.3,7,NA,6.5,2.5,0.9,NA,0.6,NA,NA,NA,0.38,2.6,0.37,34,219,322,37,175,NA,NA,NA,0.87,121,NA,NA,NA,NA,0.01,10,NA,NA,NA,NA,NA,NA,0.70251,NA,NA,NA
MORB,50.47,1.26,16.02,2.21,6.82,12.14,8.13,0.16,0.29,2.43,0.14,6.5,15.6,NA,10.1,3.17,1.34,4.9,0.98,NA,NA,NA,0.55,2.49,0.39,NA,255,338,43,116,68,67,NA,7.3,155,30,96,7.9,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,18.318,15.544,38.435
MORB,50.49,2,15.12,1.89,8.71,9.97,5.72,0.18,0.84,3.06,0.33,20,NA,NA,19,4.8,1.8,NA,0.9,NA,NA,NA,NA,3.3,0.33,35,298,23,44,35,NA,NA,NA,16.6,263,NA,NA,NA,NA,0.208,211,NA,NA,NA,NA,NA,0.51296,0.703379,NA,NA,NA
MORB,50.49,1.29,16.94,1.24,7.75,11.88,7.45,0.16,0.07,2.72,0.13,2.3,8.3,NA,7.7,3.1,1.1,NA,0.7,NA,NA,NA,0.49,2.5,0.42,37,247,261,41,109,NA,NA,NA,0.62,100,NA,NA,NA,NA,0.006,704,NA,NA,NA,NA,NA,NA,0.70268,NA,NA,NA
MORB,50.59,1.55,16.2,1.75,7.64,11.58,6.57,0.16,0.61,2.6,0.25,15,32.5,NA,18.3,4.5,1.4,NA,0.8,NA,NA,NA,0.61,2.3,0.36,36,232,157,37,70,NA,NA,NA,12.9,218,NA,NA,NA,NA,0.158,161,NA,NA,NA,NA,NA,0.512981,0.703361,NA,NA,NA
MORB,50.61,0.92,17.43,1.15,6.21,13.53,7.62,0.13,0.17,2.13,0.1,4.1,10,NA,7,2.2,0.8,NA,0.5,NA,NA,NA,0.36,2.2,0.35,36,212,432,34,101,NA,NA,NA,2.93,124,NA,NA,NA,NA,0.038,36,NA,NA,NA,NA,NA,0.512893,0.703285,NA,NA,NA
MORB,50.62,1.06,15.03,1.15,8.42,12.52,8.33,0.18,0.17,2.2,0.07,4.1,NA,NA,7.8,2.3,0.9,NA,0.5,NA,NA,NA,NA,2.3,0.39,38,NA,255,44,74,NA,NA,NA,2.84,95,NA,NA,NA,NA,0.033,33,NA,NA,NA,NA,NA,0.513122,0.702941,NA,NA,NA
MORB,50.62,1.57,15.65,1.47,8.61,10.92,7.43,0.17,0.11,3.04,0.17,3.5,11.7,NA,11.4,4.2,1.4,NA,1,NA,NA,NA,0.56,3.6,0.54,36,288,187,42,100,NA,NA,NA,1.23,97,NA,NA,NA,NA,0.016,13,NA,NA,NA,NA,NA,NA,0.70231,17.826,15.412,37.36
MORB,50.64,1.07,15.03,1.6,7.93,12.56,8.05,0.18,0.19,2.06,0.14,5.7,NA,NA,NA,2.6,0.9,NA,0.5,NA,NA,NA,NA,1.9,0.3,38,278,307,41,90,NA,NA,NA,4.54,111,NA,NA,NA,NA,0.063,51,NA,NA,NA,NA,NA,NA,0.70307,NA,NA,NA
MORB,50.72,1.01,15.58,0.81,9.21,12.13,7.62,0.16,0.08,1.92,0.11,2.4,NA,NA,5.3,2.4,0.8,NA,0.6,NA,NA,NA,NA,2.5,0.39,38,NA,370,43,84,NA,NA,NA,1.61,59,NA,NA,NA,NA,0.022,21,NA,NA,NA,NA,NA,0.513167,0.703008,NA,NA,NA
