pl_name,pl_rade,pl_radeerr1,pl_bmasse,pl_bmassprov,pl_orbsmax,st_rad,sy_dist,disc_year,discoverymethod,disc_facility
TIC 183374187 b,14.03364384,0.78462865,177.98390792,Mass,,1.344,1208.75,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
GJ 1061 d,1.16,,1.67,Mass,0.054,0.156,3.67278,2020,Radial Velocity,La Silla Observatory
Kepler-1987 d,2.66,0.25,7.56,M-R relationship,0.0571,0.714,595.683,2023,Transit,Kepler
Kepler-245 b,2.57,0.18,146.78,Mass,0.071,0.795,861.527,2014,Transit,Kepler
Kepler-131 c,0.84,0.07,8.25,Mass,0.17391,1.03,228.678,2014,Transit,Kepler
Kepler-144 c,1.35,0.26,2.39,M-R relationship,0.094,1.235,384.917,2014,Transit,Kepler
HD 93385 c,2.56,,7.1,Msini,0.112,1.18484,43.3475,2021,Radial Velocity,La Silla Observatory
Kepler-431 c,0.668,,0.229,M-R relationship,0.0847,1.092,486.546,2015,Transit,Kepler
HD 106270 b,12.4,,3623.2438398,Mass,3.34,2.66,93.808,2011,Radial Velocity,W. M. Keck Observatory
TOI-5720 b,1.09,0.07,4.3,Mass,0.018288,0.383,35.8256,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-203 d,1.44,0.28,33.9,Mass,0.1,1.114,703.302,2014,Transit,Kepler
Kepler-230 c,2.04,1.04,4.82,M-R relationship,0.38,0.817,740.754,2014,Transit,Kepler
Kepler-1091 b,1.46,0.36,2.73,M-R relationship,0.0252,1.03,914.299,2016,Transit,Kepler
Kepler-1129 b,2.96,0.51,9.06,M-R relationship,0.16481,1.0,1183.88,2016,Transit,Kepler
Kepler-472 b,3.22,0.13,10.5,M-R relationship,0.04823,0.78,306.602,2016,Transit,Kepler
Kepler-1275 b,1.48,0.65,2.79,M-R relationship,0.0488,1.36,1153.98,2016,Transit,Kepler
