pl_name,pl_rade,pl_radeerr1,pl_bmasse,pl_bmassprov,pl_orbsmax,st_rad,sy_dist,disc_year,discoverymethod,disc_facility
TOI-4010 d,6.18,0.14,38.15,Mass,0.113,0.83,177.504,2023,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-4010 b,3.02,0.08,11.0,Mass,0.0229,0.83,177.504,2023,Transit,Transiting Exoplanet Survey Satellite (TESS)
LP 890-9 b,1.32,0.053,13.2,Mass,0.01875,0.1556,32.4298,2022,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-4336 A b,2.137,0.08,3.33,Mass,0.0849,0.326,22.5455,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-4492 b,11.78063872,0.61649394,1881.54416944,Mass,0.0535,1.222,143.184,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
HD 20329 b,1.72,0.07,7.42,Mass,0.018,1.13,63.6796,2022,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-167 e,10.16,0.42,321.00669107,Mass,1.883,0.749,341.908,2016,Transit,Kepler
TOI-5205 b,11.6,0.3,343.0,Mass,0.0199,0.394,86.4493,2023,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-167 c,1.674,0.069,3.44,M-R relationship,0.0684,0.749,341.908,2014,Transit,Kepler
TOI-5293 A b,11.9,0.4,170.4,Mass,0.034,0.52,162.229,2023,Transit,Transiting Exoplanet Survey Satellite (TESS)
KOI-94 d,11.27,1.06,106.0,Mass,0.1684,1.52,477.052,2013,Transit,Kepler
LP 890-9 c,1.367,0.055,25.3,Mass,0.03984,0.1556,32.4298,2022,Transit,SPECULOOS Southern Observatory
HD 3167 e,3.97,,14.9,Mass,0.3797,0.871,47.2899,2022,Radial Velocity,CHaracterising ExOPlanets Satellite (CHEOPS)
TOI-5806 b,15.13212395,1.90552672,721.47048389,Mass,0.0484,1.387,119.199,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-5916 b,11.8,0.52,219.0,Mass,0.02789,0.487,199.724,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136 b,1.9,0.21,3.5,Mass,0.05106,0.968,84.5362,2022,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136 g,2.53,0.11,5.6,Mass,0.229,0.968,84.5362,2022,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-1338 c,10.3,,75.4,Mass,0.794,1.313,399.017,2023,Radial Velocity,Multiple Observatories
WASP-84 c,1.95,0.12,15.2,Mass,0.02359,0.768,100.588,2023,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-6109 c,4.8326,0.0736,20.8,M-R relationship,0.0786,1.021,151.738,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-6255 b,1.079,0.065,1.44,Mass,,0.37,20.3167,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
WASP-193 b,14.78464554,0.62770292,35.59678158,Mass,0.0668,1.213,362.087,2023,Transit,WASP-South
LP 791-18 d,1.032,0.044,0.91,Mass,0.01992,0.182,26.4927,2023,Transit,Spitzer Space Telescope
TOI-6324 b,1.059,0.041,1.17,Mass,,0.293,20.5488,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
HD 207496 b,2.25,0.12,6.1,Mass,0.0629,0.769,23.606,2023,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-4010 e,13.3,,692.0,Msini,1.57,0.83,177.504,2023,Radial Velocity,Roque de los Muchachos Observatory
GJ 367 c,1.86,,4.13,Msini,,0.458,9.41263,2023,Radial Velocity,La Silla Observatory
GJ 367 d,2.33,,6.03,Msini,,0.458,9.41263,2023,Radial Velocity,La Silla Observatory
TOI-6109 b,4.8704,0.1622,21.1,M-R relationship,0.0599,1.021,151.738,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-199 c,11.4,,88.99195396,Mass,0.807,0.82,102.27,2023,Transit Timing Variations,Multiple Observatories
AU Mic e,4.87,,21.1,Mass,,0.82,9.7221,2025,Radial Velocity,Mauna Kea Observatory
AU Mic d,1.02,,1.053,Mass,,0.744,9.7221,2023,Transit Timing Variations,Multiple Observatories
GJ 806 b,1.331,0.023,1.9,Mass,0.01406,0.4144,12.0445,2023,Transit,Transiting Exoplanet Survey Satellite (TESS)
GJ 806 c,2.28,,5.8,Msini,0.0523,0.4144,12.0445,2023,Radial Velocity,Multiple Observatories
HD 110067 b,2.2,0.03,5.69,Mass,0.0793,0.788,32.1585,2023,Transit,Multiple Observatories
HD 110067 c,2.388,0.036,6.3,Mass,0.1039,0.788,32.1585,2023,Transit,Multiple Observatories
HD 110067 d,2.852,0.039,8.52,Mass,0.1362,0.788,32.1585,2023,Transit,Multiple Observatories
HD 110067 e,1.94,0.04,3.9,Mass,0.1785,0.788,32.1585,2023,Transit,Multiple Observatories
HD 110067 f,2.601,0.042,5.04,Mass,0.2163,0.788,32.1585,2023,Transit,Multiple Observatories
HD 110067 g,2.607,0.052,8.4,Mass,0.2621,0.788,32.1585,2023,Transit,Multiple Observatories
GJ 341 b,0.88,0.05,4.0,Mass,,0.5066,10.454,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-6894 b,9.5836785,0.24659758,53.39517238,Mass,0.02604,0.2276,73.8131,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
IRAS 04125+2902 b,10.73820351,0.86309151,80.8,M-R relationship,0.077,1.45,159.244,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-51 e,2.18,,5.4,Mass,,0.87,783.831,2024,Transit Timing Variations,Multiple Observatories
TOI-7169 b,16.53324653,0.32506044,130.30964687,Mass,0.0428,1.5,467.151,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
Gl 725 A b,1.48,,2.78,Msini,0.068,0.351,3.5214,2025,Radial Velocity,Multiple Observatories
TOI-7189 b,10.9,0.52,159.04,Mass,0.03294,0.591,192.09,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-7265 B b,10.7,0.49,224.95,Mass,0.04007,0.497,143.97,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
BD+05 4868 A b,,,6.2,Mass,0.0208,0.69,43.5687,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-771 c,1.5,,2.87,Msini,0.046,0.232,25.2788,2025,Radial Velocity,Paranal Observatory
TOI-7393 b,11.3,0.69,194.78,Mass,0.03664,0.582,189.038,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-2076 e,1.301,0.059,4.7,Mass,0.03863,0.758,41.9091,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
L 98-59 f,1.48,,2.8,Msini,0.1052,0.3155,10.6194,2025,Radial Velocity,Multiple Facilities
HIP 41378 g,2.5,,6.81,Mass,,1.3,106.289,2025,Radial Velocity,W. M. Keck Observatory
55 Cnc B b,1.69,,3.5,Msini,0.044,0.274,12.4773,2025,Radial Velocity,Mauna Kea Observatory
55 Cnc B c,2.16,,5.3,Msini,0.13,0.274,12.4773,2025,Radial Velocity,Mauna Kea Observatory
GJ 3090 c,3.14,,10.0,Msini,0.0997,0.516,22.4751,2026,Radial Velocity,Multiple Facilities
TOI-4336 A c,1.251,0.066,1.55,Mass,0.05092,0.326,22.5455,2026,Transit,Multiple Observatories
TOI-260 b,1.71,0.08,4.23,Mass,0.0943,0.607,20.1852,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
MOA-2020-BLG-108L b,12.4,,3391.22910269,Mass,3.69,,5130.0,2026,Microlensing,MOA
HD 202206 b,12.1,,6849.20217085,Mass,0.81,1.04,45.9665,2026,Radial Velocity,La Silla Observatory
HIP 81991 b,12.5,,3019.3698665,Mass,6.4,2.82111,43.9016,2026,Radial Velocity,Multiple Facilities
Gl 725 B c,1.66,,3.4,Msini,0.139,0.28,6.842357,2026,Radial Velocity,Mauna Kea Observatory
Kepler-12 b,19.660586,0.347479,137.30256,Mass,0.0553,1.483,881.386,2011,Transit,Kepler
KOI-94 b,1.71,0.16,10.5,Mass,0.05119,1.52,477.052,2013,Transit,Kepler
Kepler-167 d,1.238,0.064,2.06,M-R relationship,0.1404,0.749,341.908,2016,Transit,Kepler
Kepler-51 d,9.7,0.5,7.6,Mass,0.509,0.94,783.831,2014,Transit,Kepler
Kepler-51 c,9.0,2.8,4.0,Mass,0.384,0.94,783.831,2012,Transit,Kepler
Kepler-51 b,7.1,0.3,2.1,Mass,0.2514,0.94,783.831,2012,Transit,Kepler
Kepler-167 b,1.718,0.07,3.6,M-R relationship,0.04825,0.749,341.908,2014,Transit,Kepler
KOI-94 c,4.32,0.41,15.6,Mass,0.1013,1.52,477.052,2013,Transit,Kepler
KOI-94 e,6.56,0.62,35.0,Mass,0.3046,1.52,477.052,2013,Transit,Kepler
PH2 b,9.33708092,0.2914335,87.08498352,Mass,0.833,0.949,343.863,2013,Transit,Kepler
K2-33 b,5.04,0.34,1175.971,Mass,0.0409,1.05,139.268,2016,Transit,K2
HAT-P-11 b,4.36,0.06,25.0,Mass,0.05258,0.683,37.7647,2010,Transit,HATNet
HD 180902 b,13.5,,535.54355,Msini,1.4,4.16,104.577,2009,Radial Velocity,W. M. Keck Observatory
TOI-5624 e,3.247,0.042,8.9,Mass,0.1439,0.82,101.913,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
KOINTREAU-1 b,12.4,,3368.9811142,Mass,690.0,,158.618,2026,Imaging,W. M. Keck Observatory
K2-414 c,1.9287,0.063,4.38,M-R relationship,0.0552,0.732,260.036,2022,Transit,K2
Kepler-1154 c,2.36,0.95,6.17,M-R relationship,0.0875,1.43,1460.1,2016,Transit,Kepler
Kepler-863 b,2.9,0.68,8.75,M-R relationship,0.122,0.95,1499.66,2016,Transit,Kepler
Kepler-278 c,3.268,0.067,34.9,Mass,0.287,2.861,443.03,2014,Transit,Kepler
GJ 180 d,2.66,,7.56,Msini,0.309,0.413049,11.9407,2020,Radial Velocity,Multiple Facilities
K2-86 b,1.96,0.27,4.5,M-R relationship,0.077,0.76,258.699,2016,Transit,K2
HD 196050 b,12.9,,1493.7935129,Mass,2.65,1.42,50.6742,2002,Radial Velocity,Anglo-Australian Telescope
Kepler-564 b,4.63,0.66,19.4,M-R relationship,0.0484,0.92,863.037,2016,Transit,Kepler
Kepler-878 b,1.93,0.12,4.38,M-R relationship,0.165,0.77,791.625,2016,Transit,Kepler
HD 120084 b,12.7,,2034.1018048,Mass,4.21,10.37,103.044,2013,Radial Velocity,Okayama Astrophysical Observatory
TOI-1694 c,13.8,,316.55709337,Msini,0.974,0.812,124.68,2023,Radial Velocity,W. M. Keck Observatory
K2-87 b,7.6,0.4,44.9,M-R relationship,0.094,1.401,491.242,2016,Transit,K2
Kepler-983 b,2.36,0.07,6.17,M-R relationship,0.3148,1.08,714.437,2016,Transit,Kepler
Kepler-1948 b,1.03283226,,1.09,M-R relationship,0.1022,0.557,193.903,2021,Transit,Kepler
Kepler-444 c,0.497,0.021,0.0793,M-R relationship,0.04881,0.752,36.4396,2015,Transit,Kepler
Kepler-1173 b,0.89,0.23,0.64,M-R relationship,0.0156,0.82,377.06,2016,Transit,Kepler
HD 219077 b,12.5,,3057.50927534,Mass,5.935,1.91,29.1864,2012,Radial Velocity,La Silla Observatory
Kepler-458 c,4.2,0.63,16.4,M-R relationship,0.17012,2.21562,1594.74,2016,Transit,Kepler
Kepler-1608 b,1.73,0.16,3.64,M-R relationship,0.1126,0.72,832.0,2016,Transit,Kepler
TOI-2093 b,3.25,,10.6,Msini,0.097,0.729,82.7982,2025,Radial Velocity,Calar Alto Observatory
EPIC 212499991 b,1.6,0.13,3.19,M-R relationship,,0.757541,283.29,2019,Transit,K2
Kepler-759 b,2.27,0.49,5.77,M-R relationship,0.2329,1.04,1073.48,2016,Transit,Kepler
Kepler-563 b,3.09,0.17,9.75,M-R relationship,0.1418,0.77,565.207,2016,Transit,Kepler
Kepler-296 f,1.8,0.31,3.89,M-R relationship,0.255,0.48,167.0,2014,Transit,Kepler
Kepler-534 b,2.24,0.08,5.65,M-R relationship,0.1272,0.98,570.659,2016,Transit,Kepler
TOI-512 b,1.54,0.1,3.57,Mass,,0.89,67.3975,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
HD 75784 b,13.8,,317.83,Msini,1.032,3.4,85.4321,2014,Radial Velocity,W. M. Keck Observatory
Kepler-172 c,2.86,0.53,8.55,M-R relationship,0.068,1.085,828.592,2014,Transit,Kepler
Kepler-1340 b,1.55,0.7,3.02,M-R relationship,0.01523,1.42,981.779,2016,Transit,Kepler
Kepler-1115 b,1.7,0.29,3.53,M-R relationship,0.2134,1.73,983.245,2016,Transit,Kepler
KIC 5437945 b,6.4,1.6,33.6,M-R relationship,1.19671,1.24,1274.01,2015,Transit,Kepler
Kepler-1859 c,1.66,0.29,3.39,M-R relationship,0.0473,1.235,1331.25,2023,Transit,Kepler
Kepler-1201 b,2.29,0.91,5.86,M-R relationship,0.1183,1.24,944.241,2016,Transit,Kepler
Kepler-232 c,3.83,1.86,14.0,M-R relationship,0.101,0.968,1349.13,2014,Transit,Kepler
tau Cet g,1.18,,1.75,Msini,0.133,0.83,3.60304,2017,Radial Velocity,Multiple Observatories
Kepler-151 b,3.06,1.53,9.59,M-R relationship,0.116,0.83,649.919,2014,Transit,Kepler
TOI-201 b,11.4,0.1,164.0,Mass,0.303,1.31,113.825,2021,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-207 d,3.31,0.63,11.0,M-R relationship,0.068,1.588,875.519,2014,Transit,Kepler
GJ 887 e,1.12,,1.46,Msini,0.0417,0.468,3.28679,2026,Radial Velocity,Multiple Observatories
WASP-108 b,15.13212395,0.44835923,283.50293904,Mass,,1.34415,258.777,2020,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-1521 b,2.5,0.09,6.8,M-R relationship,0.23476,0.76,206.983,2016,Transit,Kepler
Kepler-238 c,2.39,0.45,152.522,Mass,0.069,1.43,1798.75,2014,Transit,Kepler
GJ 676 A d,1.78,,3.81394088,Msini,0.039,0.69,16.0272,2012,Radial Velocity,La Silla Observatory
Kepler-620 b,3.32,1.22,11.0,M-R relationship,0.1053,1.22,1355.28,2016,Transit,Kepler
TOI-2989 b,12.55405838,0.56044903,953.485221,Mass,0.0384,0.76,195.795,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-349 c,1.96,0.74,4.5,M-R relationship,0.105,0.927,940.724,2014,Transit,Kepler
Kepler-1231 b,1.42,0.3,2.6,M-R relationship,0.0914,1.0,987.237,2016,Transit,Kepler
Kepler-274 b,1.54,0.84,2.99,M-R relationship,0.101,1.007,1333.62,2014,Transit,Kepler
Kepler-832 b,2.06,0.32,4.9,M-R relationship,0.075,0.9,1688.12,2016,Transit,Kepler
Kepler-1889 b,2.94360686,,8.98,M-R relationship,0.2082,0.817,1395.13,2021,Transit,Kepler
Kepler-988 b,2.07,0.47,4.94,M-R relationship,0.1085,0.53,304.889,2016,Transit,Kepler
TOI-880 c,4.95,0.2,21.7,M-R relationship,0.0635,0.83,60.6679,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
HD 12235 b,3.23,,10.48833743,Msini,0.054,1.80185,31.7627,2022,Radial Velocity,Multiple Observatories
Kepler-444 f,0.741,0.041,0.332,M-R relationship,0.0811,0.752,36.4396,2015,Transit,Kepler
GJ 887 c,2.43,,6.5,Msini,0.121,0.468,3.28679,2020,Radial Velocity,La Silla Observatory
Kepler-524 b,1.91,0.14,4.31,M-R relationship,0.07955,1.1,1058.24,2016,Transit,Kepler
Kepler-1075 b,1.42,0.16,2.6,M-R relationship,0.0208,0.54,291.275,2016,Transit,Kepler
Kepler-368 b,3.26,0.91,10.7,M-R relationship,0.186,2.019,770.978,2014,Transit,Kepler
Kepler-115 b,1.09,0.21,1.32,M-R relationship,0.036,1.205,623.609,2014,Transit,Kepler
Kepler-1735 b,1.19429134,,1.84,M-R relationship,0.0621,0.509,245.303,2021,Transit,Kepler
TOI-1898 b,9.39553231,0.2342915,129.0,Mass,0.269,1.6131,79.6682,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-1130 c,0.79239584,,0.422,M-R relationship,0.04238,0.842,249.343,2021,Transit,Kepler
HD 20782 b,13.6,,472.83,Msini,1.3649,1.12681,35.9864,2006,Radial Velocity,Anglo-Australian Telescope
Kepler-1376 b,1.05,0.21,1.16,M-R relationship,0.0598,0.97,868.056,2016,Transit,Kepler
Kepler-1190 b,1.33,0.05,2.33,M-R relationship,0.0845,0.72,342.509,2016,Transit,Kepler
Kepler-450 b,6.14,0.33,19.4,Mass,0.20092,1.64162,455.982,2015,Transit,Kepler
Kepler-758 d,2.12,0.47,5.14,M-R relationship,0.1527,1.42,1502.32,2016,Transit,Kepler
HAT-P-47 b,14.71739166,0.50440413,65.47265184,Mass,,1.515,282.096,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
HD 135625 b,13.3,,731.0053361,Mass,5.4,1.35743,56.518,2023,Radial Velocity,La Silla Observatory
TOI-2211.01,1.561,0.198,3.06,M-R relationship,0.04011,0.834,70.2932,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-124 b,0.73,0.05,0.315,M-R relationship,0.039,0.636,420.046,2014,Transit,Kepler
Kepler-1259 b,1.43,0.07,2.63,M-R relationship,0.0141,0.77,805.562,2016,Transit,Kepler
TOI-1859 b,9.75181321,0.78462865,68.6,M-R relationship,0.337,1.36,224.385,2023,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-616 b,2.43,0.33,6.48,M-R relationship,0.0927,0.97,945.775,2016,Transit,Kepler
HD 141399 e,14.1,,209.7678,Msini,5.0,1.387236,37.0169,2014,Radial Velocity,Multiple Observatories
Kepler-1008 b,1.28,0.07,2.18,M-R relationship,0.09755,0.78,282.565,2016,Transit,Kepler
TOI-2133 b,2.37,0.09,6.21,M-R relationship,0.041,0.62,75.1973,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-1979 b,29.33,8.82,,Msini,0.1383,0.938,1076.27,2023,Transit,Kepler
WASP-157 b,11.19,0.28,182.43442,Mass,0.0499,1.1,334.037,2016,Transit,SuperWASP
Kepler-1183 b,2.82,0.52,8.35,M-R relationship,0.1793,0.99,1919.19,2016,Transit,Kepler
Kepler-331 d,1.64,0.17,3.33,M-R relationship,0.159,0.492,580.119,2014,Transit,Kepler
TOI-5322 b,16.6117094,0.3474784,184.02264765,Mass,0.0604,1.462,476.899,2025,Transit,Transiting Exoplanet Survey Satellite (TESS)
HD 457 b,11.9,,8445.3364308,Mass,15.369,1.28194,55.0375,2022,Radial Velocity,Multiple Observatories
HD 112640 b,12.9,,1589.15,Msini,1.7,39.0,323.335,2020,Radial Velocity,Bohyunsan Optical Astronomical Observatory
Kepler-1647 b,11.8739,0.1377,483.0,Mass,2.7205,1.7903,1212.45,2016,Transit,Kepler
Kepler-1197 b,1.25,0.03,2.1,M-R relationship,0.02869,0.72,486.94,2016,Transit,Kepler
HD 153557 b,4.77,,20.34101805,Msini,0.068,0.745171,17.9412,2022,Radial Velocity,Multiple Observatories
Kepler-1939 b,1.16480773,,1.68,M-R relationship,0.0334,0.603,189.833,2021,Transit,Kepler
TIC 117642575 b,2.82716337,0.28514319,8.38,M-R relationship,,1.08102,188.758,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-621 b,2.3,0.07,5.9,M-R relationship,0.031,0.68,389.0,2016,Transit,Kepler
Kepler-1113 b,2.81,1.13,8.3,M-R relationship,0.2415,1.17,1073.88,2016,Transit,Kepler
Kepler-142 b,1.99,0.39,4.62,M-R relationship,0.032,1.269,548.686,2014,Transit,Kepler
Kepler-662 b,2.18,0.11,5.39,M-R relationship,0.1408,0.74,815.637,2016,Transit,Kepler
Kepler-1336 c,1.71,0.27,3.57,M-R relationship,0.06272,1.3,1126.64,2016,Transit,Kepler
TOI-216.02,8.0,3.0,18.75187601,Mass,0.1293,0.748,177.945,2019,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-236 c,2.0,0.17,4.66,M-R relationship,0.132,0.51,288.763,2014,Transit,Kepler
HD 196067 b,12.4,,3623.2438398,Mass,4.71,1.71,39.9346,2012,Radial Velocity,La Silla Observatory
Kepler-1210 b,1.7,0.3,3.53,M-R relationship,0.0753,0.92,1176.53,2016,Transit,Kepler
Kepler-91 b,15.322703,0.773421,257.4423,Mass,0.0731,6.3,1294.69,2013,Transit,Kepler
K2-290 b,3.06,0.16,10.9,Mass,0.0923,1.511,272.909,2019,Transit,K2
Kepler-1766 b,2.27904508,,5.81,M-R relationship,0.4161,1.042,501.229,2021,Transit,Kepler
HD 176986 c,,,2097.98531461,Mass,0.11873,0.782,27.7843,2017,Radial Velocity,Multiple Observatories
K2-170 c,1.8017647,0.24523316,3.9,M-R relationship,,0.981614,392.872,2018,Transit,K2
HD 72490 b,13.5,,561.92344,Msini,1.88,4.96,126.339,2018,Radial Velocity,W. M. Keck Observatory
HD 12661 c,13.2,,899.45439181,Mass,2.8145,1.11,37.8478,2002,Radial Velocity,Multiple Observatories
Kepler-1061 b,1.98,0.11,4.58,M-R relationship,0.0388,1.07,543.375,2016,Transit,Kepler
Kepler-1904 b,1.3904994,,2.51,M-R relationship,0.0436,0.497,270.854,2021,Transit,Kepler
Kepler-473 b,4.08,0.79,15.6,M-R relationship,0.12048,1.34,905.937,2016,Transit,Kepler
HD 14787 b,13.7,,356.28743,Msini,1.7,5.01,119.137,2018,Radial Velocity,W. M. Keck Observatory
WASP-106 b,12.10569916,0.17934369,613.40882551,Mass,0.0901,1.47,352.181,2014,Transit,SuperWASP
Kepler-1840 b,2.77771129,,8.13,M-R relationship,0.46206,0.803,513.107,2021,Transit,Kepler
kap And b,15.91675259,0.67253884,5498.4314411,Mass,55.0,2.109,50.0177,2012,Imaging,Subaru Telescope
Kepler-1751 b,1.82417378,,3.98,M-R relationship,0.0712,0.967,1291.47,2021,Transit,Kepler
Kepler-1067 b,0.8,0.12,0.437,M-R relationship,0.0164,0.93,667.693,2016,Transit,Kepler
TOI-2578 b,19.66055215,0.65012088,167.17774208,Mass,0.0495,1.64,285.53,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-624 b,2.31,0.33,5.95,M-R relationship,0.11638,1.18,748.188,2016,Transit,Kepler
TOI-5349 b,10.2,0.3,127.4,Mass,0.0369,0.58,188.336,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-1294 c,14.3,,147.0,Msini,0.61,1.5566,332.648,2024,Radial Velocity,W. M. Keck Observatory
Kepler-1039 b,1.46,0.09,2.73,M-R relationship,0.01714,0.74,306.91,2016,Transit,Kepler
HAT-P-60 b,18.28184752,0.26901554,182.43350562,Mass,0.06277,2.197,233.22,2021,Transit,HATNet
HD 88986 b,2.49,0.18,17.2,Mass,0.58,1.543,33.2673,2023,Radial Velocity,Haute-Provence Observatory
HD 215152 e,,,975.41538108,Mass,0.15417,0.73,21.5974,2018,Radial Velocity,La Silla Observatory
Kepler-704 b,2.61,0.6,7.32,M-R relationship,0.047,0.96,1228.83,2016,Transit,Kepler
K2-385 b,1.539,0.145,2.98,M-R relationship,,0.761,420.819,2022,Transit,K2
Kepler-1432 b,2.22,0.69,5.56,M-R relationship,0.1696,1.13,2171.87,2016,Transit,Kepler
Kepler-135 c,1.16,0.23,1.65,M-R relationship,0.103,1.275,621.855,2014,Transit,Kepler
Kepler-950 b,8.98,1.56,59.6,M-R relationship,0.3982,1.02,2161.6,2016,Transit,Kepler
HD 73526 b,13.1,,978.9164,Msini,0.65,1.53,97.2396,2002,Radial Velocity,Anglo-Australian Telescope
HD 207897 b,2.34302132,0.123646,14.8,Mass,0.117,0.7827,28.2938,2021,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-1459 b,1.36,0.1,2.42,M-R relationship,0.2829,0.74,455.479,2016,Transit,Kepler
Kepler-1358 b,1.12,0.07,1.46,M-R relationship,0.0656,0.79,546.998,2016,Transit,Kepler
Kepler-411 b,2.401,0.053,25.6,Mass,0.0375,0.82,153.676,2013,Transit,Kepler
HD 360 b,14.0,,238.37130525,Msini,0.98,10.86,111.542,2021,Radial Velocity,Okayama Astrophysical Observatory
TOI-4030 b,5.8462559,0.41681993,28.8,M-R relationship,,0.991737,571.615,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-741 b,2.97,1.01,9.11,M-R relationship,0.0744,1.24,1661.87,2016,Transit,Kepler
Kepler-1299 b,2.98,0.66,9.17,M-R relationship,0.1357,0.91,1404.94,2016,Transit,Kepler
Kepler-1806 b,2.35560189,,6.15,M-R relationship,0.0813,0.788,978.066,2021,Transit,Kepler
TOI-375 c,13.4,,669.34662514,Msini,0.524,2.9,396.213,2026,Radial Velocity,Multiple Observatories
Kepler-1048 b,1.61,0.09,3.22,M-R relationship,0.059,0.7,556.006,2016,Transit,Kepler
Kepler-749 b,3.1,0.23,9.8,M-R relationship,0.1054,0.75,721.027,2016,Transit,Kepler
HD 102329 b,12.6,,2593.4928,Msini,1.81,9.82,217.107,2011,Radial Velocity,W. M. Keck Observatory
TOI-1194 b,8.71664516,0.15541841,120.0,Mass,0.034,0.9608,149.667,2023,Transit,Transiting Exoplanet Survey Satellite (TESS)
Barnard d,0.694,,0.263,Msini,0.0188,0.185,1.82655,2025,Radial Velocity,Gemini Observatory
Kepler-1951 b,2.32107188,,6.0,M-R relationship,0.1435,1.306,1277.32,2021,Transit,Kepler
HIP 114933 b,13.4,,616.58710958,Msini,2.84,5.27,101.766,2021,Radial Velocity,Multiple Observatories
Kepler-1305 b,1.88,0.35,4.19,M-R relationship,0.1109,0.96,1575.23,2016,Transit,Kepler
Kepler-598 b,1.5,0.12,2.86,M-R relationship,0.04487,0.86,681.086,2016,Transit,Kepler
HD 185283 b,13.6,,413.1769291,Mass,4.6,0.743303,31.395,2023,Radial Velocity,La Silla Observatory
Kepler-1920 b,2.95415848,,9.03,M-R relationship,0.2043,1.161,885.913,2021,Transit,Kepler
HD 65216 b,13.6,,411.58985,Msini,1.301,0.88,35.1205,2003,Radial Velocity,La Silla Observatory
Kepler-954 b,2.32,0.05,5.99,M-R relationship,0.1202,0.76,215.814,2016,Transit,Kepler
EPIC 206042996 c,1.2,0.2,1.87,M-R relationship,,0.5,451.769,2021,Transit,K2
HATS-38 b,6.882326,0.190553,23.51942,Mass,0.05036,1.105,343.525,2020,Transit,HATSouth
Kepler-1388 c,2.26,0.14,5.73,M-R relationship,0.0519,0.61,453.795,2016,Transit,Kepler
TIC 178172313 b,2.80405322,0.87657907,8.27,M-R relationship,,0.84345,178.137,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
Gliese 12 b,0.93,0.06,0.95,Mass,0.067,0.265,12.21,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-266 c,3.89,1.89,14.4,M-R relationship,0.457,1.028,1370.79,2014,Transit,Kepler
NGTS-30 b,10.40193409,0.35868738,305.11527072,Mass,0.408,0.913,238.377,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-1388 e,2.46,0.14,6.62,M-R relationship,0.1861,0.61,453.795,2016,Transit,Kepler
Kepler-1311 b,1.24,0.25,2.07,M-R relationship,0.10082,1.4,866.331,2016,Transit,Kepler
Kepler-1991 c,2.57,0.36,7.13,M-R relationship,0.1528,1.053,855.82,2023,Transit,Kepler
Kepler-126 d,2.5,0.05,54.59018723,Msini,0.448,1.358,237.401,2014,Transit,Kepler
TOI-4029 b,6.73756618,0.48174093,36.6,M-R relationship,,1.17834,274.436,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-2001 b,1.04,0.13,1.12,M-R relationship,0.0197,0.77,776.55,2023,Transit,Kepler
