Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1903,11,3.688,3.386,3.231,2.585,2.603,1.978,1.622,2.504,1.764,1.253,0.155,0.357,7.64,1.03,1.341,0
1903,12,3.719,3.411,3.219,2.588,2.6,1.981,1.594,2.502,1.817,1.237,0.192,0.387,7.7,1.0,1.311,0
1904,1,3.688,3.353,3.164,2.521,2.533,1.905,1.582,2.468,1.771,1.259,0.189,0.323,7.63,0.99,1.128,0
1904,2,3.658,3.38,3.228,2.597,2.606,1.984,1.676,2.528,1.704,1.244,0.152,0.308,7.74,0.99,1.25,0
1904,3,3.505,3.325,3.228,2.664,2.67,2.112,1.923,2.624,1.402,1.116,0.098,0.189,7.74,0.85,1.402,0
1904,4,3.566,3.295,3.191,2.594,2.609,2.03,1.798,2.546,1.497,1.161,0.104,0.232,7.72,0.84,1.463,0
1904,5,3.658,3.368,3.216,2.6,2.621,2.027,1.728,2.548,1.64,1.189,0.152,0.299,7.77,0.91,1.372,0
1904,6,3.688,3.432,3.222,2.612,2.63,2.042,1.704,2.568,1.728,1.18,0.21,0.338,7.78,0.9,1.372,0
1904,7,3.688,3.475,3.255,2.64,2.655,2.054,1.701,2.588,1.774,1.201,0.219,0.354,7.8,1.1,1.341,0
1904,8,3.688,3.456,3.258,2.652,2.658,2.06,1.78,2.618,1.676,1.198,0.198,0.28,7.85,1.3,1.494,0
1904,9,3.658,3.444,3.298,2.728,2.734,2.17,1.954,2.699,1.49,1.128,0.146,0.216,8.3,1.92,1.646,0
1904,10,3.78,3.392,3.289,2.673,2.688,2.091,1.835,2.614,1.557,1.198,0.104,0.256,7.93,1.38,1.615,0
1904,11,3.627,3.456,3.307,2.658,2.676,2.045,1.704,2.58,1.752,1.262,0.149,0.341,7.7,1.07,1.402,0
1904,12,3.871,3.475,3.277,2.618,2.637,1.996,1.603,2.539,1.872,1.28,0.198,0.393,7.63,1.08,1.311,0
1905,1,3.78,3.514,3.31,2.667,2.676,2.042,1.698,2.606,1.816,1.268,0.204,0.344,7.74,1.05,1.372,0
1905,2,3.84,3.517,3.371,2.758,2.771,2.167,1.884,2.7,1.633,1.204,0.146,0.283,7.75,0.99,1.585,0
1905,3,3.627,3.444,3.322,2.694,2.707,2.091,1.856,2.65,1.588,1.231,0.122,0.235,7.71,0.93,1.524,0
1905,4,3.749,3.359,3.243,2.621,2.63,2.018,1.768,2.564,1.591,1.225,0.116,0.25,7.77,0.89,1.463,0
1905,5,3.719,3.362,3.203,2.582,2.597,1.987,1.646,2.504,1.716,1.216,0.158,0.341,7.73,1.01,1.25,0
1905,6,3.719,3.38,3.176,2.557,2.573,1.969,1.606,2.493,1.774,1.207,0.204,0.363,7.77,1.03,1.341,0
1905,7,3.719,3.466,3.255,2.624,2.646,2.036,1.667,2.566,1.799,1.219,0.21,0.369,7.8,1.07,1.311,0
1905,8,3.627,3.423,3.252,2.63,2.643,2.036,1.75,2.586,1.673,1.216,0.171,0.287,7.78,1.08,1.463,0
1905,9,3.597,3.362,3.255,2.633,2.646,2.036,1.823,2.592,1.539,1.219,0.107,0.213,7.77,1.19,1.615,0
1905,10,3.688,3.331,3.258,2.621,2.633,2.006,1.774,2.552,1.557,1.253,0.073,0.232,7.76,1.12,1.433,0
1905,11,3.871,3.435,3.304,2.664,2.682,2.06,1.722,2.578,1.713,1.244,0.131,0.338,7.78,1.18,1.189,0
1905,12,3.719,3.447,3.234,2.579,2.6,1.966,1.588,2.518,1.859,1.268,0.213,0.378,7.78,1.12,1.158,0
1906,1,3.749,3.505,3.28,2.64,2.652,2.021,1.652,2.578,1.853,1.259,0.226,0.369,7.78,1.02,1.402,0
1906,2,3.719,3.508,3.313,2.694,2.707,2.103,1.795,2.652,1.713,1.21,0.195,0.308,7.78,1.01,1.524,0
