time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-02T13:13:09.940Z,35.8755,-118.0768333,5.68,2.29,ml,31,59,0.1426,0.13,ci,ci38413368,2019-01-09T18:53:23.220Z,"17km WSW of Little Lake, CA",earthquake,0.16,0.79,0.204,79,reviewed,ci,ci
2019-01-06T23:17:14.560Z,35.3045,-117.1873333,0.59,2.36,ml,36,70,0.1163,0.14,ci,ci38418432,2019-01-08T22:38:54.650Z,"41km E of Johannesburg, CA",earthquake,0.16,0.4,0.121,26,reviewed,ci,ci
2019-01-07T12:17:29.250Z,35.7621667,-118.4918333,4.45,2.08,ml,34,52,0.05868,0.16,ci,ci38418736,2019-01-09T16:11:46.980Z,"6km W of Kernville, CA",earthquake,0.21,0.47,0.234,24,reviewed,ci,ci
2019-01-09T17:53:43.790Z,35.398,-117.8238333,6.89,2.11,ml,43,39,0.1315,0.12,ci,ci38420568,2019-01-10T15:49:29.010Z,"17km W of Johannesburg, CA",earthquake,0.15,0.84,0.115,23,reviewed,ci,ci
2019-01-23T14:36:47.390Z,36.0858333,-117.6171667,1.63,2.83,ml,41,34,0.1075,0.15,ci,ci38201111,2019-01-23T17:51:04.080Z,"30km E of Coso Junction, CA",earthquake,0.14,0.24,0.163,25,reviewed,ci,ci
2019-01-24T07:05:49.340Z,36.027,-117.7663333,1.4,2.23,ml,30,50,0.001987,0.13,ci,ci38202399,2019-01-25T02:04:00.783Z,"16km NE of Little Lake, CA",earthquake,0.13,0.17,0.179,49,reviewed,ci,ci
2019-01-31T03:13:36.090Z,35.365,-117.8708333,2.65,3.17,ml,51,41,0.09949,0.19,ci,ci38213159,2019-04-18T19:09:25.040Z,"21km W of Johannesburg, CA",earthquake,0.16,0.46,0.145,276,reviewed,ci,ci
2019-01-31T06:43:28.450Z,35.3641667,-117.8725,3.85,2.23,ml,42,41,0.09897,0.16,ci,ci38213359,2019-01-31T17:37:52.080Z,"22km W of Johannesburg, CA",earthquake,0.17,0.66,0.205,59,reviewed,ci,ci
2019-02-08T17:00:12.060Z,35.4738333,-118.3288333,3.44,2.14,ml,40,43,0.1661,0.12,ci,ci37525634,2019-02-08T19:36:52.490Z,"20km SE of Bodfish, CA",earthquake,0.14,0.53,0.218,25,reviewed,ci,ci
2019-02-17T01:51:17.320Z,36.0388333,-117.8065,1.37,2.2,ml,30,49,0.03609,0.15,ci,ci37533058,2019-02-19T19:17:01.370Z,"13km E of Coso Junction, CA",earthquake,0.15,0.2,0.132,49,reviewed,ci,ci
2019-02-20T04:10:38.440Z,36.1088333,-117.9038333,2.58,2.17,ml,32,59,0.0406,0.16,ci,ci37535770,2019-02-21T02:05:10.515Z,"8km NNE of Coso Junction, CA",earthquake,0.26,0.37,0.213,25,reviewed,ci,ci
2019-02-21T00:16:22.720Z,36.0211667,-117.7746667,2.14,2.4,ml,25,43,0.008627,0.16,ci,ci38467552,2019-02-21T03:12:32.456Z,"15km NE of Little Lake, CA",earthquake,0.17,0.22,0.159,87,reviewed,ci,ci
2019-02-27T12:44:11.970Z,35.4575,-118.4668333,0.33,2.06,ml,39,50,0.17,0.19,ci,ci38475944,2019-02-27T16:57:51.030Z,"15km S of Bodfish, CA",earthquake,0.23,0.51,0.146,44,reviewed,ci,ci
2019-02-28T07:35:50.240Z,36.0256667,-117.7078333,2.38,2.82,ml,29,36,0.04655,0.12,ci,ci38477600,2019-02-28T15:58:31.500Z,"20km ENE of Little Lake, CA",earthquake,0.13,0.2,0.164,81,reviewed,ci,ci
2019-03-03T12:46:43.470Z,36.0598333,-117.6545,1.5,2.27,ml,33,33,0.09619,0.14,ci,ci38481968,2019-03-04T22:31:49.460Z,"26km E of Coso Junction, CA",earthquake,0.14,0.24,0.174,25,reviewed,ci,ci
2019-03-03T13:03:09.820Z,36.059,-117.6558333,1.2,2.04,ml,33,29,0.09488,0.15,ci,ci38481976,2019-03-04T22:36:53.930Z,"26km E of Coso Junction, CA",earthquake,0.15,0.24,0.147,25,reviewed,ci,ci
2019-03-03T14:09:24.620Z,36.0586667,-117.6545,0.97,2.23,ml,35,29,0.09577,0.15,ci,ci38482024,2019-03-05T00:19:40.860Z,"26km ENE of Little Lake, CA",earthquake,0.15,0.25,0.156,25,reviewed,ci,ci
2019-03-14T07:39:09.360Z,36.0673333,-117.6878333,1.11,2.35,ml,31,33,0.07553,0.14,ci,ci38268383,2019-03-14T16:52:02.990Z,"24km E of Coso Junction, CA",earthquake,0.13,0.21,0.146,58,reviewed,ci,ci
2019-03-14T11:42:48.870Z,35.532,-117.5085,5.3,2.41,ml,37,48,0.1176,0.14,ci,ci38268511,2019-03-14T17:40:26.110Z,"18km ESE of Ridgecrest, CA",earthquake,0.14,0.8,0.161,88,reviewed,ci,ci
2019-03-18T03:09:26.920Z,36.0685,-117.6855,1.25,2.5,ml,32,34,0.07775,0.14,ci,ci38273559,2019-03-19T20:29:26.860Z,"24km E of Coso Junction, CA",earthquake,0.14,0.22,0.133,73,reviewed,ci,ci
2019-03-18T04:53:54.260Z,36.0696667,-117.6858333,1.09,2.71,ml,32,34,0.07818,0.16,ci,ci38273623,2019-03-19T20:45:52.456Z,"24km E of Coso Junction, CA",earthquake,0.16,0.26,0.162,88,reviewed,ci,ci
2019-03-19T07:29:41.720Z,36.0726667,-117.6813333,1.78,2.06,ml,32,76,0.08288,0.13,ci,ci38275831,2019-03-19T20:39:38.430Z,"24km E of Coso Junction, CA",earthquake,0.15,0.29,0.188,26,reviewed,ci,ci
2019-03-19T23:02:44.560Z,36.072,-117.6816667,1.88,2.13,ml,32,33,0.08228,0.16,ci,ci38277447,2019-03-20T18:04:11.822Z,"24km E of Coso Junction, CA",earthquake,0.16,0.27,0.144,31,reviewed,ci,ci
2019-03-19T23:03:41.940Z,36.072,-117.6805,1.38,2.29,ml,31,39,0.08306,0.15,ci,ci38277455,2019-03-20T18:35:43.594Z,"24km E of Coso Junction, CA",earthquake,0.14,0.23,0.121,40,reviewed,ci,ci
2019-03-20T12:06:02.360Z,36.068,-117.6853333,0.19,3.2,ml,37,30,0.07758,0.2,ci,ci38277999,2019-06-06T18:54:05.040Z,"24km E of Coso Junction, CA",earthquake,0.18,0.33,0.133,240,reviewed,ci,ci
2019-03-20T19:05:29.460Z,36.073,-117.6846667,1.9,2.12,ml,34,33,0.08087,0.16,ci,ci38278887,2019-03-20T19:54:30.450Z,"24km E of Coso Junction, CA",earthquake,0.18,0.3,0.138,26,reviewed,ci,ci
2019-03-20T19:30:02.020Z,35.9626667,-117.9906667,4.88,2.54,ml,42,61,0.09293,0.11,ci,ci38278983,2022-08-08T13:04:44.898Z,"8km WNW of Little Lake, CA",earthquake,0.12,0.63,0.311,26,reviewed,ci,ci
2019-03-22T12:24:16.930Z,36.128,-117.6998333,0.13,2.11,ml,32,40,0.1155,0.18,ci,ci38281247,2019-03-22T16:47:21.672Z,"24km ENE of Coso Junction, CA",earthquake,0.17,0.31,0.135,34,reviewed,ci,ci
