site_code,year,month,day,hour,minute,second,datetime,time_decimal,midpoint_time,value,value_std_dev,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag
MLO,1976,11,1,0,0,0,1976-11-01T00:00:00Z,1976.8333333333333,216968400,330.25,0.51,25,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,12,1,0,0,0,1976-12-01T00:00:00Z,1976.915300546448,219560400,331.67,0.69,20,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,1,1,0,0,0,1977-01-01T00:00:00Z,1977.0,222238800,332.66,0.47,23,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,2,1,0,0,0,1977-02-01T00:00:00Z,1977.0849315068492,224917200,333.22,0.29,20,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,3,1,0,0,0,1977-03-01T00:00:00Z,1977.1616438356164,227336400,334.98,0.55,23,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,4,1,0,0,0,1977-04-01T00:00:00Z,1977.2465753424656,230014800,336.22,0.6,20,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,5,1,0,0,0,1977-05-01T00:00:00Z,1977.3287671232877,232606800,336.92,0.3,20,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,6,1,0,0,0,1977-06-01T00:00:00Z,1977.4136986301369,235285200,336.16,0.4,23,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,7,1,0,0,0,1977-07-01T00:00:00Z,1977.495890410959,237877200,334.81,0.66,20,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1977,8,1,0,0,0,1977-08-01T00:00:00Z,1977.580821917808,240555600,332.61,0.57,18,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1977,9,1,0,0,0,1977-09-01T00:00:00Z,1977.6657534246576,243234000,331.27,0.54,19,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1977,10,1,0,0,0,1977-10-01T00:00:00Z,1977.7479452054797,245826000,331.28,0.33,23,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1977,11,1,0,0,0,1977-11-01T00:00:00Z,1977.8328767123287,248504400,332.53,0.59,21,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1977,12,1,0,0,0,1977-12-01T00:00:00Z,1977.9150684931508,251096400,333.61,0.55,25,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,1,1,0,0,0,1978-01-01T00:00:00Z,1978.0,253774800,334.98,0.61,22,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,2,1,0,0,0,1978-02-01T00:00:00Z,1978.0849315068492,256453200,335.27,0.56,25,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,3,1,0,0,0,1978-03-01T00:00:00Z,1978.1616438356164,258872400,336.65,0.75,28,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,4,1,0,0,0,1978-04-01T00:00:00Z,1978.2465753424656,261550800,337.73,0.48,18,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,5,1,0,0,0,1978-05-01T00:00:00Z,1978.3287671232877,264142800,338.02,0.45,26,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,6,1,0,0,0,1978-06-01T00:00:00Z,1978.4136986301369,266821200,337.95,0.5,17,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,7,1,0,0,0,1978-07-01T00:00:00Z,1978.495890410959,269413200,336.34,0.55,21,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,8,1,0,0,0,1978-08-01T00:00:00Z,1978.580821917808,272091600,334.65,0.52,19,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,9,1,0,0,0,1978-09-01T00:00:00Z,1978.6657534246576,274770000,332.35,0.77,17,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,10,1,0,0,0,1978-10-01T00:00:00Z,1978.7479452054797,277362000,332.42,0.45,21,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,11,1,0,0,0,1978-11-01T00:00:00Z,1978.8328767123287,280040400,333.76,0.35,24,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,12,1,0,0,0,1978-12-01T00:00:00Z,1978.9150684931508,282632400,334.96,0.43,26,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,1,1,0,0,0,1979-01-01T00:00:00Z,1979.0,285310800,336.11,0.87,27,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,2,1,0,0,0,1979-02-01T00:00:00Z,1979.0849315068492,287989200,336.69,0.31,25,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,3,1,0,0,0,1979-03-01T00:00:00Z,1979.1616438356164,290408400,338.3,0.89,21,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,4,1,0,0,0,1979-04-01T00:00:00Z,1979.2465753424656,293086800,338.87,0.74,24,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,5,1,0,0,0,1979-05-01T00:00:00Z,1979.3287671232877,295678800,339.24,0.52,20,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,6,1,0,0,0,1979-06-01T00:00:00Z,1979.4136986301369,298357200,339.34,0.44,19,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,7,1,0,0,0,1979-07-01T00:00:00Z,1979.495890410959,300949200,337.52,0.77,26,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,8,1,0,0,0,1979-08-01T00:00:00Z,1979.580821917808,303627600,335.66,0.96,24,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,9,1,0,0,0,1979-09-01T00:00:00Z,1979.6657534246576,306306000,333.9,0.72,19,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,10,1,0,0,0,1979-10-01T00:00:00Z,1979.7479452054797,308898000,334.27,0.41,25,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,11,1,0,0,0,1979-11-01T00:00:00Z,1979.8328767123287,311576400,335.4,0.58,28,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1979,12,1,0,0,0,1979-12-01T00:00:00Z,1979.9150684931508,314168400,336.74,0.42,22,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,1,1,0,0,0,1980-01-01T00:00:00Z,1980.0,316846800,337.9,0.64,29,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,2,1,0,0,0,1980-02-01T00:00:00Z,1980.084699453552,319525200,338.37,0.52,26,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,3,1,0,0,0,1980-03-01T00:00:00Z,1980.1639344262296,322030800,340.11,0.69,23,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,4,1,0,0,0,1980-04-01T00:00:00Z,1980.2486338797817,324709200,340.97,0.35,24,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,5,1,0,0,0,1980-05-01T00:00:00Z,1980.330601092896,327301200,341.45,0.53,24,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,6,1,0,0,0,1980-06-01T00:00:00Z,1980.415300546448,329979600,341.42,0.52,20,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,7,1,0,0,0,1980-07-01T00:00:00Z,1980.4972677595629,332571600,339.47,0.9,26,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,8,1,0,0,0,1980-08-01T00:00:00Z,1980.5819672131147,335250000,337.72,1.06,16,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,9,1,0,0,0,1980-09-01T00:00:00Z,1980.6666666666667,337928400,336.29,0.72,15,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,10,1,0,0,0,1980-10-01T00:00:00Z,1980.7486338797817,340520400,336.14,0.46,26,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,11,1,0,0,0,1980-11-01T00:00:00Z,1980.8333333333333,343198800,337.28,0.37,27,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1980,12,1,0,0,0,1980-12-01T00:00:00Z,1980.915300546448,345790800,338.36,0.4,24,19.536,-155.576,3410.0,3397.0,13.0,...
