pl_name,st_teff,st_rad,pl_orbsmax,pl_rade,pl_eqt,discoverymethod
K2-39 b,4881.0,2.97,,6.27704,,Transit
HD 156668 c,4903.69,0.774528,1.57,,,Radial Velocity
Kepler-396 c,,1.06,,5.3,,Transit
Kepler-483 b,6346.0,1.47,,3.21,,Transit
OGLE-2018-BLG-1011L b,,,1.8,,,Microlensing
Kepler-1459 b,4828.0,0.74,,1.36,,Transit
TOI-6420 b,6020.0,1.312,0.0753,11.93756445,1213.0,Transit
Kepler-1067 b,5592.0,0.93,,0.8,,Transit
SR 12 AB c,,,,,,Imaging
NGTS-16 b,5550.0,1.213,0.0523,14.57167491,1177.0,Transit
WASP-32 b,6140.0,0.95,,10.76064,,Transit
WASP-110 b,5392.0,0.853,,13.19297028,1158.0,Transit
Kepler-346 c,6033.0,1.021,0.168,3.07,,Transit
K2-324 b,3752.0,0.505,0.0331,2.43,707.0,Transit
Kepler-1431 b,5806.0,1.03,,1.47,,Transit
TOI-4145 A b,5281.0,0.859,0.04823,13.30506009,1074.0,Transit
TOI-2719 b,5762.0,1.69,,5.98,1710.0,Transit
HD 202696 c,5040.0,6.43,2.342,,,Radial Velocity
KMT-2016-BLG-1397L b,,,5.1,,,Microlensing
HD 10180 c,5911.0,1.109,0.06412,,,Radial Velocity
HD 1397 b,5521.0,2.336,0.1097,11.500434,1228.3,Transit
K2-64 b,5312.0,0.726,0.0619,2.07,,Transit
Kepler-419 b,6430.0,1.74,0.37,10.8,,Transit
Kepler-541 b,6166.0,2.06,,3.36,,Transit
HD 50499 c,6099.0,1.42,9.02,,,Radial Velocity
SWEEPS-4 b,,1.18,0.055,9.079,,Transit
TOI-1680 b,3225.0,0.2106,0.03144,1.466,404.0,Transit
K2-165 b,5185.0,0.803827,,1.27443657,,Transit
Kepler-340 b,6620.0,1.85,0.134,2.53,,Transit
K2-219 b,5753.0,1.189232,,1.34762583,,Transit
HD 208527 b,4035.0,51.1,2.1,,,Radial Velocity
Kepler-1274 b,6179.0,2.17,,1.42,,Transit
Kepler-1828 b,5806.0,0.899,,2.11598626,,Transit
11 UMi b,4213.0,29.79,1.53,,,Radial Velocity
TOI-6695 b,6400.0,1.517,0.402,9.52763359,599.0,Transit
Kepler-1261 b,5006.0,0.77,,2.26,,Transit
HD 106906 b,6516.0,,650.0,,1800.0,Imaging
TOI-904 b,3770.2,0.527,0.056,2.426,429.43,Transit
Kepler-1069 b,5722.0,0.98,,1.6,,Transit
Kepler-315 b,5796.0,1.037,0.402,3.77,,Transit
HD 108202 b,,,3.7,,,Radial Velocity
Kepler-197 b,6004.0,1.12,0.06,1.02,,Transit
TIC 290487717 b,5328.97,0.943767,,6.63777941,,Transit
BD-08 2823 b,4816.0,0.71,0.06,,,Radial Velocity
GJ 3293 e,3466.0,0.404,0.08208,,,Radial Velocity
GJ 411 b,3719.0,0.3685,0.07879,,,Radial Velocity
NGTS-20 b,5980.0,1.78,0.313,11.99360935,688.0,Transit
RR Cae b,,,5.3,,,Eclipse Timing Variations
Kepler-111 b,5952.0,1.157,0.046,1.58,,Transit
HD 231701 b,6101.0,1.53,0.567,,,Radial Velocity
WASP-57 b,5600.0,0.927,0.03769,11.76945,1338.0,Transit
TOI-1260 c,4227.0,0.672,0.0657,2.76,651.0,Transit
CoRoT-3 b,6740.0,1.56,,11.32,,Transit
Kepler-1355 b,5352.0,0.83,,1.46,,Transit
Kepler-256 d,5551.0,1.301,0.064,2.48,,Transit
Kepler-304 e,4817.0,0.73,,1.2,,Transit
8 UMi b,4847.0,10.73,0.462,,,Radial Velocity
HD 93385 d,5977.0,,0.2565,,,Radial Velocity
MOA-2020-BLG-135L b,,,1.11,,,Microlensing
Kepler-994 b,3934.0,0.54,,1.6,,Transit
Kepler-1925 b,5856.0,1.092,,3.00177922,,Transit
Kepler-508 b,6025.0,1.25,,1.64,,Transit
Kepler-331 d,4347.0,0.492,0.159,1.64,,Transit
Kepler-301 d,5815.0,0.9,0.112,1.75,,Transit
HD 89307 b,5955.0,1.1,3.27,,,Radial Velocity
HD 38529 b,,,0.115,,,Radial Velocity
Gl 410 b,3842.0,0.543,0.0531,,,Radial Velocity
Kepler-1782 b,4931.0,0.734,,2.22927435,,Transit
Kepler-1280 b,6227.0,1.32,,1.87,,Transit
HD 215152 d,4935.0,0.73,0.08799,,,Radial Velocity
TOI-2364 b,5306.0,0.886,0.04871,8.60849718,1091.0,Transit
Kepler-336 c,5867.0,1.304,0.092,2.1,,Transit
Kepler-1493 b,5863.0,1.29,,1.41,,Transit
Kepler-1185 b,5622.0,0.87,,1.33,,Transit
MOA-2022-BLG-033L b,,,2.15,,,Microlensing
HAT-P-23 b,5905.0,1.203,0.0232,15.334,2056.0,Transit
TOI-1232 b,5823.0,1.072,0.117,10.92875618,,Transit
TOI-1693 b,3499.0,0.46,0.0226,1.41,764.0,Transit
TOI-1716.01,5879.0,1.24,0.080496,3.143,,Transit
Kepler-356 c,6133.0,1.335,0.115,1.81,,Transit
HD 23472 c,4684.0,0.71,0.1646,1.87,467.0,Transit
TOI-1246 c,5213.0,0.8649,0.061,2.45109846,862.49,Transit
TOI-2497 b,7360.0,2.36,0.1166,11.14172682,1595.0,Transit
Kepler-173 b,6031.0,0.949,0.048,1.29,,Transit
K2-177 b,6063.0,1.213565,,2.1162048,,Transit
Kepler-593 b,5967.0,1.1,,2.87,,Transit
Kepler-1418 b,4770.0,0.72,,1.66,,Transit
Kepler-592 b,5913.0,1.04,,2.39,,Transit
KMT-2021-BLG-2478L b,,,1.85,,,Microlensing
Kepler-261 b,5098.0,0.794,0.088,2.18,,Transit
Kepler-534 c,5936.0,0.965,,1.227,,Transit
TOI-2337 b,4780.0,3.22,,10.08808263,,Transit
HD 109271 c,5783.0,,0.196,,,Radial Velocity
TOI-1333 b,6274.0,1.925,0.0626,15.647764,1679.0,Transit
TOI-1438 c,5230.0,0.82,0.083,2.75,794.0,Transit
CoRoT-20 b,,,0.09,,,Transit
Kepler-1834 c,4821.0,0.788,0.015,1.22,1541.0,Transit
TrES-1 b,5230.0,0.85,,12.66617,,Transit
GJ 3293 c,3466.0,0.404,0.36175,,,Radial Velocity
HD 47186 b,5657.0,1.08,0.05,,,Radial Velocity
Kepler-1800 b,5343.0,2.506,,0.99679734,,Transit
TOI-2081 b,3800.0,0.534,0.0752,2.04,488.0,Transit
HD 4732 b,4898.0,5.03,1.129,,,Radial Velocity
Kepler-215 b,5739.0,1.027,0.084,1.62,,Transit
TOI-4342 b,3866.0,0.598,0.0519,2.329,639.0,Transit
Kepler-193 c,6335.0,1.147,0.286,2.75,,Transit
XO-4 b,6397.0,1.45,,14.01125,,Transit
Kepler-184 d,5788.0,0.873,0.179,2.49,,Transit
TOI-559 b,5925.0,1.233,0.0723,12.22899794,1180.0,Transit
Kepler-130 d,5884.0,1.127,0.377,1.64,,Transit
Kepler-39 b,6350.0,1.4,0.164,13.9,897.0,Transit
Kepler-119 c,5595.0,0.839,0.049,0.92,,Transit
Wolf 503 b,4716.0,0.689,0.05706,2.043,790.0,Transit
HAT-P-61 b,5587.0,0.938,0.0301,10.07687365,1505.0,Transit
K2-225 b,5520.0,1.7,0.1409,3.60929179,923.0,Transit
HD 222237 b,4751.0,0.71,10.8,,,Radial Velocity
KELT-4 A b,6206.0,1.603,0.04317,19.044091,1823.0,Transit
WASP-94 B b,6040.0,1.35,0.0335,,,Radial Velocity
GJ 436 b,,0.455,0.0291,4.17,,Radial Velocity
Kepler-1238 b,6386.0,1.48,,1.93,,Transit
Kepler-648 b,5741.0,0.98,,3.22,,Transit
Kepler-91 b,4550.0,6.3,0.0731,15.322703,2040.0,Transit
Kepler-1376 b,5659.0,0.97,,1.05,,Transit
Kepler-1877 b,5615.0,0.936,,0.624086,,Transit
Kepler-259 c,5938.0,0.898,0.217,2.7,,Transit
51 Peg b,5761.0,1.19,0.052,,,Radial Velocity
HD 16905 b,,,8.8,,,Radial Velocity
TOI-2427 b,4072.0,0.65,0.0202,1.8,1117.0,Transit
Kepler-1181 b,6176.0,1.3,,1.57,,Transit
Kepler-1617 b,6167.0,1.22,,1.2,,Transit
Kepler-893 b,5820.0,0.99,,3.03,,Transit
TOI-1431 b,7690.0,1.92,0.046,16.70138124,2370.0,Transit
Kepler-142 d,5790.0,1.269,0.242,2.16,,Transit
Kepler-462 b,7500.0,1.57,,3.0,,Transit
OGLE-2018-BLG-1011L c,,,0.8,,,Microlensing
WASP-169 b,6110.0,2.011,0.0681,14.616536,1604.0,Transit
Kepler-1788 b,4786.0,0.704,,2.37850461,,Transit
WD 0806-661 b,10393.0,,,12.10569916,357.0,Imaging
HD 121504 b,6027.0,1.07,0.33,,,Radial Velocity
gam Lib c,4879.0,12.38,2.318,,,Radial Velocity
WASP-80 b,4143.0,0.586,0.0344,11.197791,825.0,Transit
HATS-6 b,3724.0,0.57,0.03623,11.186582,712.8,Transit
K2-33 b,3540.0,1.05,,5.04,,Transit
Kepler-307 b,5367.0,0.814,,2.43,,Transit
Kepler-84 d,6031.0,1.169,0.052,1.38,,Transit
TOI-5261 b,5790.0,1.021,0.05134,11.60129502,1244.0,Transit
Kepler-327 b,3799.0,0.492,0.029,1.11,,Transit
Kepler-1806 b,5311.0,0.788,,2.35560189,,Transit
Kepler-80 c,4540.0,0.678,0.0792,2.74,,Transit
WASP-50 b,5400.0,0.843,0.0293,13.069694,1394.84,Transit
HD 215497 c,,,1.31,,,Radial Velocity
Kepler-1167 b,4971.0,0.75,,1.71,,Transit
TOI-3896 b,5110.91,0.747752,,3.14949237,,Transit
Kepler-48 e,5194.0,0.89,,,,Radial Velocity
HATS-32 b,5700.0,1.097,0.04024,14.000041,1437.0,Transit
Kepler-276 d,,1.03,,2.8,,Transit
CD-35 2722 b,3689.0,,67.0,17.37392009,,Imaging
Kepler-245 b,5100.0,0.795,0.071,2.57,,Transit
KIC 5437945 b,6340.0,1.24,,6.4,,Transit
Kepler-1870 b,5508.0,0.84,,2.10143764,,Transit
Kepler-312 b,6115.0,1.467,0.031,1.29,,Transit
TOI-2194 b,4756.0,0.6909,,1.9892,590.88,Transit
Kepler-60 b,5905.0,1.257,,1.71,,Transit
Kepler-856 b,5535.0,0.93,,9.3,,Transit
Kepler-1202 b,5834.0,1.04,,2.94,,Transit
CoRoT-14 b,6035.0,1.21,0.027,12.22,1952.0,Transit
TYC 1422-614-1 b,4806.0,6.85,0.69,,,Radial Velocity
Kepler-1519 b,5644.0,0.91,,7.06,,Transit
TOI-2169 A b,6270.0,1.82,0.0896,12.50922246,1364.0,Transit
Kepler-1154 b,6327.0,1.43,,2.34,,Transit
TOI-4562 c,6096.0,1.152,5.219,,,Transit Timing Variations
HD 233832 b,4981.0,0.68,2.827,,,Radial Velocity
HD 127195 c,4981.0,4.16,,,,Radial Velocity
OGLE-2018-BLG-1367L b,,,,,,Microlensing
HR 8799 c,,,38.0,13.0,,Imaging
K2-3 d,3844.0,0.546,0.2014,1.458,305.2,Transit
Kepler-1997 b,6215.0,1.052,0.1815,2.28,660.0,Transit
Kepler-1903 b,6347.0,0.996,,2.28642395,,Transit
Kepler-205 c,4321.0,0.546,0.122,1.64,,Transit
Kepler-1969 b,6046.0,1.007,,1.68161001,,Transit
K2-217 b,5967.0,1.333718,,3.57854073,,Transit
HD 108863 b,4878.0,5.74,1.32,,,Radial Velocity
HD 185269 b,5923.0,2.0,0.077,,,Radial Velocity
Kepler-365 c,6012.0,1.048,0.137,1.64,,Transit
HD 222582 b,5790.0,1.13,1.34,,,Radial Velocity
HD 56957 b,,,6.426,,,Radial Velocity
Kepler-1745 b,5611.0,1.4,,1.92872921,,Transit
K2-25 b,3207.0,0.2932,0.0287,3.44,494.0,Transit
K2-188 c,5977.0,1.19,0.0785,2.83,1026.0,Transit
Kepler-889 b,5961.0,1.25,,1.09,,Transit
K2-383 b,5129.0,0.804,,1.564,,Transit
TOI-406 c,3392.0,0.41,0.0322,1.32,584.0,Transit
Kepler-1713 b,6477.0,1.459,,1.71673535,,Transit
Kepler-524 b,6014.0,1.1,,1.91,,Transit
Kepler-1321 c,4094.0,0.53,,2.4,,Transit
TOI-6692 b,5890.0,1.385,0.512,11.67975789,467.0,Transit
Kepler-1203 b,4105.0,0.61,,1.06,,Transit
OGLE-2018-BLG-0298L b,,,2.86,,,Microlensing
HATS-35 b,6300.0,1.433,0.03199,16.409976,2037.0,Transit
HD 19615 b,4263.0,32.3,1.1,,,Radial Velocity
Kepler-122 d,6050.0,1.216,0.155,2.2,,Transit
Kepler-318 b,5746.0,1.189,0.056,4.71,,Transit
K2-308 b,6100.0,1.24,,9.916,,Transit
Kepler-145 c,,1.85,,4.32,,Transit
K2-189 c,5442.0,0.879,,2.31,877.0,Transit
HD 169142 b,,,37.2,,,Imaging
MOA-2007-BLG-400L b,,,5.9,,,Microlensing
Kepler-326 b,5105.0,0.801,0.032,1.52,,Transit
Kepler-932 b,5331.0,0.84,,1.37,,Transit
b Cen AB b,,,556.0,,,Imaging
GJ 3138 d,3717.0,0.5,0.698,,,Radial Velocity
HD 145934 b,,,4.89,,,Radial Velocity
Kepler-917 b,5418.0,0.76,,1.91,,Transit
TOI-1347 c,5464.0,0.83,,1.6,1000.0,Transit
K2-329 b,5282.0,0.822,0.1016,8.675766,650.0,Transit
KELT-20 b,8720.0,1.565,0.0542,19.514869,2262.0,Transit
K2-18 c,3457.0,0.411,0.06,,363.0,Radial Velocity
Kepler-311 d,5903.0,1.156,0.7326,2.05,327.0,Transit
TIC 65612701 b,5692.29,1.73709,,5.07802804,,Transit
HD 125612 b,,,1.349,,,Radial Velocity
Kepler-436 b,4651.0,0.697,0.339,2.73,,Transit
GJ 414 A c,4120.0,0.68,1.4,8.4,124.7,Radial Velocity
GJ 3470 b,3600.0,0.547,0.0355,4.57,593.5,Radial Velocity
K2-232 b,6154.0,1.161,0.10356,11.209,1030.0,Transit
HAT-P-30 b,6304.0,1.31,,16.14096,,Transit
OGLE-2018-BLG-0932L b,,,1.75,,,Microlensing
ZTF J1828+2308 b,15900.0,0.0131,,11.13051784,,Transit
Kepler-1052 c,5818.0,0.848,0.6135,2.3,302.0,Transit
HD 105779 b,5792.0,0.94,3.38,,,Radial Velocity
Kepler-1143 c,5053.0,0.77,,3.6,,Transit
Kepler-1567 b,5655.0,0.93,,2.73,,Transit
Kepler-399 c,5502.0,0.68,0.155,1.43,,Transit
K2-168 b,5502.7,0.83,,1.86,766.35,Transit
Kepler-95 b,5699.0,1.41,,3.42,,Transit
Kepler-453 b,5527.0,0.833,0.7903,6.204,,Transit
HD 20003 c,5494.0,,0.1964,,,Radial Velocity
HD 122562 c,,,0.406,,,Radial Velocity
Kepler-513 b,5849.0,1.06,,2.2,,Transit
K2-259 b,6059.0,1.13,0.1271,2.32,795.0,Transit
HD 6860 b,3802.0,86.4,2.03,,,Radial Velocity
Kepler-874 b,6020.0,1.13,,3.94,,Transit
Kepler-864 c,6213.0,1.195,0.0382,1.62,1532.0,Transit
TIC 147027702 b,6410.0,2.136,0.274,10.92875618,863.0,Transit
HD 191939 g,5348.0,0.94,0.812,,278.0,Radial Velocity
GJ 15 A b,3607.0,0.38,0.072,,,Radial Velocity
K2-58 b,5413.0,0.86,0.0692,2.68,,Transit
OGLE-2015-BLG-1670L b,,,2.62,,,Microlensing
TOI-4994 b,5640.0,1.055,0.1515,8.54124329,717.6,Transit
Kepler-552 b,5863.0,1.04,,3.95,,Transit
HD 87816 b,4989.0,9.0,1.618,,,Radial Velocity
KMT-2017-BLG-2197L b,,,15.91,,,Microlensing
Wolf 1061 b,3342.0,0.307,0.0375,,,Radial Velocity
TOI-3877 b,5731.0,1.445,0.0529,11.67975789,1445.0,Transit
HATS-38 b,5732.0,1.105,0.05036,6.882326,1294.0,Transit
Kepler-1670 b,5838.0,1.51889,,3.3564801,,Transit
K2-37 c,5352.0,0.809,,2.41,839.0,Transit
Kepler-1529 b,5048.0,0.77,,2.1,,Transit
WASP-164 b,5806.0,0.932,0.02818,12.643752,1610.0,Transit
HAT-P-14 b,6600.0,1.82,,15.91678,,Transit
HAT-P-17 b,5246.0,0.87,,11.76945,,Transit
HAT-P-26 b,5079.0,0.87,,7.06167,,Transit
TrES-4 b,6200.0,1.66,,18.04649,,Transit
HD 149026 b,6179.0,1.41,,8.29466,,Radial Velocity
HD 189733 b,5052.0,0.75,,12.66617,,Radial Velocity
HD 209458 b,6091.0,1.19,,15.58051,,Radial Velocity
WASP-15 b,6300.0,1.48,,15.80469,,Transit
WASP-17 b,6550.0,1.49,,20.96083,,Transit
WASP-94 A b,6170.0,1.48,,17.71022,,Transit
WASP-63 b,5550.0,1.86,,15.80469,,Transit
KELT-7 b,6768.0,1.81,,17.9344,,Transit
KELT-8 b,5754.0,1.46,,18.15858,,Transit
NGTS-2 b,6478.0,1.702,0.063,17.878355,1468.0,Transit
Kepler-87 c,5600.0,1.82,0.676,6.14,403.0,Transit
HD 147873 b,5972.0,2.29,0.522,,,Radial Velocity
PSR J2322-2650 b,,,0.0102,,,Pulsar Timing
24 Boo b,4816.0,12.19,0.194,,,Radial Velocity
K2-208 b,5500.0,0.872,0.04878,1.67462172,1122.0,Transit
K2-352 c,5791.0,0.95,,1.92,885.0,Transit
K2-396 b,5236.0,0.92,,1.579,,Transit
Kepler-1150 b,4754.0,0.72,,1.02,,Transit
Kepler-239 c,4914.0,0.763,0.268,2.51,,Transit
Kepler-287 c,5806.0,1.032,0.246,3.26,,Transit
HD 73344 d,6148.0,1.22,6.7,,,Radial Velocity
TOI-1298 b,5752.0,1.4536,0.057,9.65807033,1278.0,Transit
Kepler-988 b,4005.0,0.53,,2.07,,Transit
K2-401 b,4213.0,0.675,,2.262,,Transit
Kepler-266 c,5885.0,1.028,0.457,3.89,,Transit
HD 158259 e,,1.21,,,,Radial Velocity
Kepler-1028 b,5522.0,0.87,,1.33,,Transit
GJ 676 A c,,,9.726,,,Radial Velocity
Kepler-1391 b,5840.0,1.1,,1.68,,Transit
Kepler-1546 b,5623.0,0.93,,3.13,,Transit
Kepler-209 b,5513.0,0.935,0.122,2.26,,Transit
HD 224018 d,5784.0,1.147,0.53,2.4,411.0,Transit
Kepler-169 d,4997.0,0.763,0.075,1.25,,Transit
HD 148427 b,5025.0,3.86,1.11,,,Radial Velocity
HD 155918 c,,,13.183,,,Radial Velocity
Kepler-1066 b,5762.0,0.98,,2.36,,Transit
Kepler-1757 b,5288.0,0.74,,2.94660251,,Transit
Kepler-737 b,3813.0,0.48,,1.96,,Transit
K2-347 b,4599.0,0.63,,2.41,640.0,Transit
K2-408 b,5335.0,0.784,,1.677,,Transit
Kepler-172 b,5526.0,1.085,0.04,2.35,,Transit
Kepler-235 b,4255.0,0.554,0.037,2.23,,Transit
Kepler-995 b,5206.0,0.8,,2.7,,Transit
Kepler-142 b,5790.0,1.269,0.032,1.99,,Transit
Kepler-54 c,3705.0,0.5,,1.23,,Transit
Kepler-389 b,5376.0,0.792,0.041,1.51,,Transit
Kepler-1557 b,6099.0,1.17,,1.53,,Transit
TIC 38825265 b,4375.52,0.664503,,2.18869476,,Transit
KMT-2023-BLG-0548L b,,,6.85,,,Microlensing
MOA-2010-BLG-328L b,,,0.92,,,Microlensing
Kepler-1686 b,5714.96,1.19951,,1.42553017,,Transit
K2-226 b,5288.0,0.889,0.04095,1.53899305,1187.0,Transit
KMT-2021-BLG-1253L b,,,1.52,,,Microlensing
Kepler-1614 b,5121.0,0.76,,1.49,,Transit
Kepler-306 e,4954.0,0.719,0.227,2.27,,Transit
HD 217786 c,,,0.038,,,Radial Velocity
TOI-3819 b,5859.0,1.538,0.04611,13.13692538,1633.0,Transit
Kepler-364 b,6108.0,1.284,0.178,1.55,,Transit
Kepler-265 e,5835.0,1.103,0.319,2.59,,Transit
Kepler-645 b,6170.0,1.21,,2.1,,Transit
Kepler-69 b,5638.0,0.93,0.094,2.24,779.0,Transit
HD 167768 b,4851.0,9.7,0.1512,,,Radial Velocity
YZ Cet b,3151.0,0.157,0.01634,,471.2,Radial Velocity
Kepler-280 b,5744.0,0.886,0.032,1.45,,Transit
KOI-351 g,,,,,,Transit
Kepler-1577 b,4862.0,0.74,,1.13,,Transit
Kepler-20 f,5495.0,0.9164,0.1387,0.952,681.0,Transit
HAT-P-27 b,5316.0,0.864673,0.04,11.43,,Transit
HD 156668 b,4850.0,0.72,0.05,,,Radial Velocity
K2-19 b,5322.0,0.82,,7.0,,Transit
Kepler-764 b,5557.0,0.89,,1.64,,Transit
HD 10180 e,5911.0,1.109,0.2699,,,Radial Velocity
Kepler-1785 b,5618.0,0.996,,2.70422447,,Transit
Kepler-1405 b,5925.0,1.07,,3.96,,Transit
Kepler-255 d,5431.0,0.86,,1.32,,Transit
USco CTIO 108 b,2700.0,,670.0,,,Imaging
Kepler-1445 b,6150.0,1.26,,0.96,,Transit
TOI-6478 b,3230.0,0.234,0.1136,4.6,204.4,Transit
WASP-163 b,5500.0,1.015,0.0266,13.473218,1638.0,Transit
TOI-2158 b,5673.0,1.41,0.075,10.76062147,1188.0,Transit
TOI-5153 b,6300.0,1.4,0.158,11.88151954,906.0,Transit
HATS-41 b,6424.0,1.71,0.0583,14.90797,1710.0,Transit
WASP-176 b,5941.0,1.925,0.0535,16.869545,1721.0,Transit
TOI-2154 b,6280.0,1.396,0.0513,16.28664896,1580.0,Transit
HAT-P-25 b,5519.0,0.919,0.0466,12.722215,1182.0,Transit
Kepler-1281 b,5353.0,0.83,,1.64,,Transit
GJ 328 c,3897.0,0.63,0.657,,,Radial Velocity
Kepler-170 b,5679.0,1.035,0.08,3.2,,Transit
Kepler-902 b,5647.0,0.93,,2.54,,Transit
K2-181 b,5528.0,1.06,,2.69,949.0,Transit
Kepler-162 c,5816.0,0.958,0.137,3.03,,Transit
Kepler-1194 b,5590.0,0.92,,1.51,,Transit
Kepler-57 c,5187.9,0.826,,2.196,,Transit
Kepler-1887 b,5749.0,0.864,,2.92454357,,Transit
TOI-6041 b,5445.0,0.879,0.1651,4.55,605.6,Transit
K2-129 b,3459.09,0.36001,0.057,1.04,,Transit
Kepler-903 c,5682.0,0.97,,2.53,,Transit
HD 103891 b,6072.0,2.22,3.27,,,Radial Velocity
HD 216520 c,5103.0,0.76,0.528,,,Radial Velocity
HD 34445 g,5836.0,1.38,6.36,,,Radial Velocity
Kepler-1237 b,5472.0,0.9,,2.86,,Transit
WTS-1 b,6250.0,1.15,0.047,16.7,1500.0,Transit
gam1 Leo b,4330.0,31.88,1.19,,,Radial Velocity
TIC 88785435 b,3998.0,0.911,0.08432,5.03,635.0,Transit
HIP 8152 c,5618.0,0.9603,0.139,2.52442508,650.68,Transit
Kepler-406 c,5538.0,1.07,,0.85,,Transit
HD 109271 b,5783.0,,0.079,,,Radial Velocity
Kepler-1434 b,6291.0,2.04,,1.11,,Transit
Kepler-80 d,4540.0,0.678,0.0372,1.53,,Transit
Kepler-1199 b,5889.0,1.17,,1.15,,Transit
Kepler-625 c,5789.0,0.96,,1.05,,Transit
TOI-2373 b,5651.0,1.102,0.112,10.42435205,860.0,Transit
GJ 1061 c,2953.0,0.156,0.0342,,,Radial Velocity
Kepler-448 c,,1.4,4.2,,,Transit Timing Variations
Kepler-968 b,4598.0,0.7,,2.0,,Transit
TOI-4311 c,5063.0,0.8441,0.1116,2.47,671.0,Transit
Kepler-610 c,5943.0,1.13,,3.3,,Transit
HD 47186 c,,,2.395,,,Radial Velocity
HD 144899 b,,,0.242,,,Radial Velocity
WASP-42 b,5315.0,0.892,0.0561,12.576498,1021.0,Transit
Kepler-1383 b,6370.0,1.44,,1.41,,Transit
Kepler-1449 b,5979.0,1.1,,1.68,,Transit
Kepler-1698 b,4975.03,0.741698,,1.07315686,,Transit
Kepler-49 b,4095.6,0.618,,2.579,,Transit
TOI-2803 A b,6280.0,1.245,0.03185,18.11371281,1893.0,Transit
TOI-1288 b,5388.0,0.9583,0.0374,4.96846551,1203.44,Transit
K2-247 b,4667.0,0.69,0.0304,2.12,979.0,Transit
HD 107148 c,5752.92,1.169193,0.1407,,,Radial Velocity
Kepler-791 b,6383.0,1.47,,3.05,,Transit
Kepler-150 b,5560.0,0.939,0.044,1.25,,Transit
HD 48948 c,4593.0,0.679,0.1951,,553.0,Radial Velocity
Kepler-180 c,5731.0,1.063,0.229,3.01,,Transit
Kepler-754 b,5935.0,1.08,,2.01,,Transit
HAT-P-62 b,5629.0,1.17,0.03772,12.02723629,1512.0,Transit
NGTS-5 b,4987.0,0.739,0.0382,12.733424,952.0,Transit
Kepler-62 e,4925.0,0.64,0.427,1.61,270.0,Transit
K2-117 b,3778.0,0.51,0.0189,2.03,868.0,Transit
WASP-190 b,6400.0,1.6,0.0663,12.89035,1500.0,Transit
WASP-92 b,6280.0,1.341,0.0348,16.376349,1871.0,Transit
TOI-5532 b,4208.45,0.662052,,2.52763693,,Transit
HD 86081 b,5939.0,1.46,0.0346,,,Radial Velocity
KMT-2023-BLG-0416L b,,,2.96,,,Microlensing
OGLE-2017-BLG-0173L b,,,3.913,,,Microlensing
Kepler-940 b,5769.0,0.96,,3.34,,Transit
Kepler-10 b,5708.0,1.065,0.01685,1.47,2188.0,Transit
TOI-262 b,5310.0,0.853,0.163,2.07,584.0,Transit
Kepler-922 b,5671.0,0.93,,1.42,,Transit
HD 19994 b,6188.0,,1.305,,,Radial Velocity
TOI-2570 b,5771.0,1.095,0.04145,13.64132951,1431.0,Transit
Kepler-232 b,5847.0,0.968,0.054,3.08,,Transit
Kepler-238 d,5751.0,1.43,0.115,3.07,,Transit
Kepler-1491 c,5626.0,1.389,0.3045,2.44,530.0,Transit
TOI-763 c,5450.0,0.897,0.1011,2.63,800.0,Transit
Kepler-863 b,5678.0,0.95,,2.9,,Transit
Kepler-1219 b,5944.0,1.94,,2.12,,Transit
WASP-130 b,5625.0,0.96,0.1012,9.97601,833.0,Transit
KMT-2019-BLG-1552L b,,,2.6,,,Microlensing
Kepler-1053 b,4529.0,0.69,,0.98,,Transit
K2-292 b,5725.0,1.09,0.13,2.63,795.0,Transit
K2-116 b,4348.35,0.6694,0.048,0.69,,Transit
WASP-161 b,6400.0,1.712,0.0673,12.811887,1557.0,Transit
Kepler-197 c,6004.0,1.12,0.09,1.23,,Transit
Kepler-518 b,5842.0,0.88,,2.11,,Transit
Kepler-544 b,6206.0,1.22,,2.12,,Transit
K2-387 b,3572.0,0.585,,7.322,,Transit
Kepler-608 b,5820.0,1.01,,3.64,,Transit
K2-370 b,5662.0,0.945,0.0321,2.67,,Transit
TOI-3980 b,5840.0,1.626,0.0494,14.4595851,1621.0,Transit
Kepler-24 e,5897.0,1.289,0.138,2.78,,Transit
Kepler-47 b,,0.936,0.2877,3.05,,Transit
Kepler-1985 b,5370.0,0.966,0.0426,2.27,1129.0,Transit
Kepler-125 b,3810.0,0.512,0.041,2.37,,Transit
OGLE-2012-BLG-0563L b,,,0.74,,,Microlensing
Kepler-1809 b,4901.0,0.716,,1.513,,Transit
Kepler-953 c,5416.0,0.99,,1.19,,Transit
Kepler-199 b,5644.0,0.967,0.158,3.11,,Transit
GJ 849 c,3467.0,0.45,4.95,,,Radial Velocity
K2-18 b,3457.0,0.411,0.1429,2.37,284.0,Transit
HAT-P-32 b,6001.0,1.367,0.03397,22.19382,1835.7,Transit
WASP-166 b,6050.0,1.22,0.0641,7.06167,1270.0,Transit
HD 106315 b,6327.0,1.296,0.0907,2.44,1153.0,Transit
HD 106315 c,6327.0,1.296,0.1536,4.35,886.0,Transit
GJ 357 c,3505.0,0.337,0.061,,401.2,Radial Velocity
GJ 357 d,3505.0,0.337,0.204,,219.6,Radial Velocity
KMT-2022-BLG-0440L b,,,1.9,,,Microlensing
Kepler-152 c,5088.0,0.724,0.356,2.39,,Transit
