pl_name,st_teff,st_rad,pl_orbsmax,pl_rade,pl_eqt,discoverymethod
Kepler-1874 b,4701.0,0.775,,2.21110724,,Transit
TOI-2096 b,3300.0,0.235,0.025,1.243,445.0,Transit
CoRoT-28 b,5150.0,1.78,0.0603,10.704595,,Transit
Gaia23braL b,,,4.847,,,Microlensing
K2-275 c,4841.0,0.69,0.0881,2.21,653.0,Transit
TOI-5789 c,5185.0,0.833,0.1009,2.86,718.0,Transit
Kepler-1050 c,6010.0,1.13,,1.48,,Transit
Kepler-275 b,6165.0,1.383,0.098,2.34,,Transit
OGLE-2014-BLG-1760L b,,,1.887,,,Microlensing
HD 96700 b,5845.0,,0.0777,,,Radial Velocity
Kepler-464 b,5933.0,1.59,,3.3,,Transit
Kepler-297 c,5619.0,0.915,0.336,6.54,,Transit
Kepler-454 b,5687.0,1.066,0.09528,2.37,916.0,Transit
TOI-5027 b,5909.0,0.92,0.093,10.76062147,1056.0,Transit
Kepler-834 b,4554.0,0.66,,2.02,,Transit
K2-105 b,5373.0,0.905,,3.4,805.0,Transit
Kepler-1228 b,5063.0,0.74,,1.54,,Transit
Kepler-100 d,5825.0,1.49,,1.61,,Transit
Kepler-1208 b,5001.0,0.76,,2.32,,Transit
16 Cyg B b,5750.0,1.13,1.66,,,Radial Velocity
Kepler-1481 b,4908.0,0.75,,1.23,,Transit
HD 175607 b,5392.0,0.7,,,,Radial Velocity
HD 109749 b,5824.0,1.22,0.0615,,,Radial Velocity
Kepler-1166 b,5446.0,0.86,,1.69,,Transit
Kepler-157 c,5774.0,1.044,0.11,2.24,,Transit
Kepler-837 b,5403.0,0.81,,2.56,,Transit
Kepler-360 c,6053.0,1.058,0.075,2.1,,Transit
K2-333 b,5880.0,1.22,,6.18,826.0,Transit
HD 27894 c,,,0.198,,,Radial Velocity
Kepler-1165 c,6249.0,1.076,,3.36093385,,Transit
Kepler-371 c,5666.0,0.992,0.313,1.78,,Transit
K2-350 b,5789.0,1.04,,1.54,1158.0,Transit
NGTS-6 b,4730.0,0.754,0.01677,14.863134,1283.9,Transit
Kepler-540 b,5946.0,1.08,,2.71,,Transit
HATS-26 b,6071.0,2.04,0.04735,19.61575,1918.0,Transit
Kepler-85 b,5505.2,0.875,,1.778,,Transit
K2-16 c,4742.0,0.66,0.1229,2.54,485.0,Transit
TOI-7510 c,5720.0,1.035,0.1595,10.81,702.0,Transit
Kepler-805 b,6112.0,1.65,,2.89,,Transit
YZ Cet d,3151.0,0.157,0.02851,,356.7,Radial Velocity
Kepler-414 c,,0.946,,3.01,,Transit Timing Variations
WASP-68 b,5910.0,1.79,,14.79588,,Transit
HD 97658 b,5212.0,0.728,,2.12,751.0,Radial Velocity
Kepler-1379 b,5188.0,0.79,,1.3,,Transit
Kepler-1850 b,4239.0,0.6,,0.72909663,,Transit
Kepler-1943 b,6032.0,0.973,,1.54869189,,Transit
Kepler-519 b,5260.0,0.8,,2.1,,Transit
Kepler-661 b,4483.0,0.67,,3.07,,Transit
Kepler-1813 b,5167.0,0.787,,1.413,,Transit
Kepler-237 b,4861.0,0.725,0.05,1.41,,Transit
Kepler-177 b,5732.0,1.324,,3.5,,Transit
K2-237 b,6180.0,1.236,0.03552,16.06246934,1759.0,Transit
TIC 139702105 b,5742.35,1.25423,,2.45316949,,Transit
Kepler-696 b,5903.0,1.08,,6.14,,Transit
Kepler-1846 b,4825.0,0.732,,1.76378826,,Transit
Kepler-1456 b,4231.0,0.62,,1.14,,Transit
Kepler-137 b,5187.0,0.802,0.077,1.47,,Transit
K2-11 b,5433.0,5.15,0.2257,7.55,734.0,Transit
Kepler-248 b,5190.0,0.831,0.066,3.02,,Transit
Kepler-55 d,4503.0,0.619,0.029,1.59,,Transit
K2-73 c,5867.0,1.058,,,186.1,Radial Velocity
WASP-160 B b,5298.0,0.868,0.0452,12.21781,1119.0,Transit
TOI-6034 b,3635.0,0.489,0.02949,11.92,714.0,Transit
HIP 75092 b,4891.0,4.53,2.02,,,Radial Velocity
TOI-139 b,4570.0,0.7007,,2.4566,561.17,Transit
TOI-269 b,3514.0,0.398,0.0345,2.77,531.0,Transit
Kepler-31 d,6340.0,1.22,0.4,3.9,,Transit
Kepler-109 c,5950.0,1.387,0.1546,2.65,859.0,Transit
Kepler-1397 b,6026.0,1.12,,1.72,,Transit
WTS-2 b,5000.0,0.752,0.01855,15.277867,2000.0,Transit
TIC 160113658 b,4817.31,0.789834,,3.49015778,,Transit
HAT-P-44 b,5295.0,0.949,0.0507,13.922,1108.0,Transit
K2-75 b,5995.0,1.56,0.081,2.67,,Transit
Kepler-1945 b,4991.0,0.804,,1.289,,Transit
WASP-126 c,5800.0,1.27,,,,Transit Timing Variations
TOI-1789 b,5991.0,2.168,0.04882,16.14093221,1927.0,Transit
Kepler-1092 b,5862.0,1.0,,2.07,,Transit
K2-186 b,5784.0,0.98083,,3.17207779,,Transit
Kepler-1497 b,5675.0,0.95,,1.66,,Transit
HD 154088 b,5374.0,,0.134,,,Radial Velocity
KMT-2021-BLG-1391L b,,,2.29,,,Microlensing
Kepler-1193 b,5908.0,1.21,,1.32,,Transit
OGLE-2012-BLG-0358L b,,,0.87,,,Microlensing
Kepler-15 b,5515.0,0.992,0.05714,10.76,,Transit
KMT-2021-BLG-0240L b,,,2.8,,,Microlensing
TOI-3464 b,6370.0,1.56,0.0515,13.7646283,1693.0,Transit
TOI-209 b,4806.66,0.742779,,2.3947209,,Transit
HD 33844 c,4861.0,5.29,2.24,,,Radial Velocity
HAT-P-2 c,,,,,,Radial Velocity
Kepler-201 c,6065.0,1.229,0.573,2.85,,Transit
Kepler-29 b,5378.0,0.732,,2.55,,Transit
Kepler-233 c,5360.0,0.758,0.287,2.71,,Transit
K2-254 c,4629.0,0.67,0.0923,2.19,551.0,Transit
TOI-4137 b,6202.0,1.438,0.05222,13.57407563,1570.0,Transit
Kepler-918 b,6028.0,1.14,,1.74,,Transit
bet Pic d,,,26.0,14.12331568,600.0,Imaging
HD 134606 e,5576.0,1.158,0.0527,,,Radial Velocity
Kepler-433 b,6360.0,2.26,0.0679,16.25,1776.0,Transit
Kepler-1976 b,5712.0,1.082,0.0565,12.21,1103.0,Transit Timing Variations
CoRoT-8 b,5080.0,0.77,0.063,6.39,,Transit
Kepler-546 b,5967.0,1.15,,7.0,,Transit
HATS-7 b,4985.0,0.815,0.04012,6.310667,1084.0,Transit
TOI-6954 b,5170.87,0.947112,,3.63524486,,Transit
MASCARA-1 b,7490.0,2.082,0.040352,17.90074218,2594.3,Transit
TOI-5800 b,4850.0,0.773,0.0344,2.46,1108.0,Transit
HD 214823 b,,,3.08,,,Radial Velocity
Kepler-1518 b,6846.0,1.88,,3.05,,Transit
K2-320 b,3157.0,0.3,0.0142,2.62,698.0,Transit
OGLE-2018-BLG-1269L b,,,4.51,,,Microlensing
TOI-1062 b,5328.0,0.84,0.052,2.265,1077.0,Transit
TOI-1062 c,5328.0,0.84,0.08,,859.0,Radial Velocity
Kepler-1953 b,4858.0,0.707,,1.28574667,,Transit
HD 5278 b,6203.0,1.194,0.1202,2.45,943.0,Transit
HD 5278 c,6203.0,1.194,0.2416,,,Radial Velocity
TOI-2109 b,6540.0,1.698,0.01791,15.098497,3646.0,Transit
pi Men d,5998.0,1.19,,,,Radial Velocity
TOI-1107 b,6311.0,1.81,0.0561,14.57167491,1728.0,Transit
TOI-1230.01,5696.0,1.15281,,2.38627705,1046.51,Transit
Kepler-324 b,5194.0,0.84,0.05,1.14,,Transit
TOI-880.02,5050.0,0.83,0.0349,2.19,1085.0,Transit
Kepler-375 c,5826.0,0.837,0.141,2.65,,Transit
HD 101581 b,4675.0,0.63,0.046,0.956,834.0,Transit
EPIC 229004835 b,5868.0,0.999,0.1237,2.332,804.0,Transit
Kepler-1334 b,5614.0,0.91,,2.29,,Transit
Kepler-337 c,5684.0,1.761,0.093,2.05,,Transit
WASP-147 b,5702.0,1.429,0.0549,12.498035,1404.0,Transit
TOI-3593 b,5550.0,0.918,0.0481,11.02963701,1170.0,Transit
Kepler-999 b,6237.0,1.65,,2.34,,Transit
TOI-2443 b,4375.0,0.631,0.105,2.363,519.0,Transit
OGLE-2011-BLG-0173L b,,,8.0,,,Microlensing
Kepler-722 b,5863.0,1.05,,2.63,,Transit
HD 191806 b,,,2.749,,,Radial Velocity
Kepler-11 f,5663.0,1.065,0.25,2.49,,Transit
Kepler-1226 b,5923.0,1.02,,1.45,,Transit
TIC 437041147 b,5224.36,0.961092,,2.21526814,,Transit
K2-83 b,3910.0,0.424,0.03014,1.244,,Transit
Kepler-731 b,5849.0,1.06,,13.88,,Transit
HD 213240 b,5979.0,1.51,1.89,,,Radial Velocity
Kepler-561 b,5646.0,0.94,,6.96,,Transit
K2-138 g,5356.3,0.863,0.23109,3.013,,Transit
HIP 29442 d,5289.0,0.98,0.0673,1.538,920.0,Radial Velocity
HD 62364 c,,,36.984,,,Radial Velocity
Kepler-978 b,6002.0,1.09,,2.99,,Transit
HD 29985 b,,,13.39,,,Radial Velocity
GJ 682 b,3028.0,,0.08,,,Radial Velocity
Kepler-454 d,5687.0,1.066,5.1,,,Radial Velocity
Kepler-1933 b,5661.0,1.008,,1.17984089,,Transit
Kepler-1101 b,5614.0,0.91,,2.47,,Transit
HD 18438 b,3860.0,88.475,2.1,,,Radial Velocity
HD 95735 c,3719.0,0.3685,2.94,,,Radial Velocity
Kepler-292 d,5299.0,0.826,0.068,2.23,,Transit
HD 45364 b,5466.0,0.89,0.6793,,,Radial Velocity
HATS-53 b,5644.0,1.101,0.04753,15.02006,1312.0,Transit
Kepler-260 b,5250.0,0.862,0.075,2.01,,Transit
TOI-4156 b,5971.64,1.03963,,2.53823825,,Transit
Kepler-347 c,6088.0,1.005,0.183,1.75,,Transit
HD 110014 b,4445.0,20.9,2.14,,,Radial Velocity
HD 220197 b,5683.0,0.98,2.729,,,Radial Velocity
WASP-37 b,5800.0,1.003,0.0446,13.002,,Transit
Kepler-335 c,5877.0,1.854,0.356,3.07,,Transit
KOI-3503 c,6001.0,1.255,,1.21,686.0,Transit
WASP-46 b,5600.0,0.858,0.02335,13.159366,1636.0,Transit
HD 115404 A c,,,11.364,,,Radial Velocity
