site_code,year,month,day,hour,minute,second,datetime,time_decimal,midpoint_time,value,value_std_dev,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag
SMO,1978,11,1,0,0,0,1978-11-01T00:00:00Z,1978.8328767123287,280040400,-999.99,-99.99,0,-14.247,-170.564,32.1,42.0,-9.9,*..
SMO,1978,12,1,0,0,0,1978-12-01T00:00:00Z,1978.9150684931508,282632400,-999.99,-99.99,0,-14.247,-170.564,32.1,42.0,-9.9,*..
SMO,1979,1,1,0,0,0,1979-01-01T00:00:00Z,1979.0,285310800,-999.99,-99.99,0,-14.247,-170.564,32.1,42.0,-9.9,*..
SMO,1979,2,1,0,0,0,1979-02-01T00:00:00Z,1979.0849315068492,287989200,336.11,0.69,19,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1979,3,1,0,0,0,1979-03-01T00:00:00Z,1979.1616438356164,290408400,335.91,0.54,26,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1979,4,1,0,0,0,1979-04-01T00:00:00Z,1979.2465753424656,293086800,336.46,0.62,25,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1979,5,1,0,0,0,1979-05-01T00:00:00Z,1979.3287671232877,295678800,335.92,0.74,25,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1979,6,1,0,0,0,1979-06-01T00:00:00Z,1979.4136986301369,298357200,336.03,0.47,29,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1979,7,1,0,0,0,1979-07-01T00:00:00Z,1979.495890410959,300949200,336.29,0.55,24,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1979,8,1,0,0,0,1979-08-01T00:00:00Z,1979.580821917808,303627600,336.37,0.45,26,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1979,9,1,0,0,0,1979-09-01T00:00:00Z,1979.6657534246576,306306000,336.32,0.19,30,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1979,10,1,0,0,0,1979-10-01T00:00:00Z,1979.7479452054797,308898000,336.61,0.16,30,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1979,11,1,0,0,0,1979-11-01T00:00:00Z,1979.8328767123287,311576400,336.67,0.18,18,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1979,12,1,0,0,0,1979-12-01T00:00:00Z,1979.9150684931508,314168400,336.88,0.35,26,-14.247,-170.564,52.0,42.0,10.0,...
