time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-14T15:56:32.450Z,35.9948333,-117.694,2.4,2.64,ml,33,31,0.0587,0.14,ci,ci38362936,2018-11-15T00:04:15.317Z,"20km ENE of Little Lake, CA",earthquake,0.13,0.19,0.157,90,reviewed,ci,ci
2018-11-23T15:56:45.730Z,36.1861667,-118.096,0.37,2.01,ml,25,90,0.2068,0.17,ci,ci38142783,2018-11-23T17:03:46.493Z,"13km SW of Olancha, CA",earthquake,0.28,0.87,0.159,25,reviewed,ci,ci
2018-11-28T16:37:49.170Z,36.195,-118.0828333,1.29,2.19,ml,27,89,0.2,0.16,ci,ci38147927,2018-11-28T17:45:02.522Z,"12km SW of Olancha, CA",earthquake,0.19,0.74,0.245,36,reviewed,ci,ci
2018-11-29T22:37:14.550Z,36.0053333,-117.7996667,1.74,2.57,ml,35,48,0.02398,0.11,ci,ci38149215,2018-11-30T00:31:14.670Z,"12km NE of Little Lake, CA",earthquake,0.11,0.13,0.122,23,reviewed,ci,ci
2018-11-29T23:23:58.480Z,36.0065,-117.8011667,1.64,2.29,ml,34,61,0.02476,0.12,ci,ci38149279,2018-11-30T00:11:00.110Z,"12km NE of Little Lake, CA",earthquake,0.12,0.16,0.143,23,reviewed,ci,ci
2018-11-30T00:15:23.500Z,36.004,-117.8,1.83,2.36,ml,29,48,0.02263,0.1,ci,ci38149311,2018-11-30T00:49:30.290Z,"12km NE of Little Lake, CA",earthquake,0.11,0.14,0.142,24,reviewed,ci,ci
2018-11-30T19:30:32.040Z,36.0303333,-117.7,1.8,2.33,ml,31,40,0.05315,0.14,ci,ci38149799,2022-08-08T10:22:38.822Z,"21km ENE of Little Lake, CA",earthquake,0.14,0.24,0.125,27,reviewed,ci,ci
2018-12-05T21:40:16.620Z,35.7303333,-117.0776667,0.84,4.2,mw,60,34,0.2316,0.17,ci,ci38386960,2019-02-16T19:52:25.040Z,"28km E of Trona, CA",earthquake,0.13,0.61,,6,reviewed,ci,ci
2018-12-05T22:10:06.190Z,35.7286667,-117.0745,1.68,3.73,mw,54,38,0.2346,0.14,ci,ci38386992,2019-02-16T19:52:25.040Z,"28km E of Trona, CA",earthquake,0.12,0.49,,6,reviewed,ci,ci
2018-12-08T08:46:30.410Z,35.9931667,-117.691,1.37,2.39,ml,31,38,0.05591,0.15,ci,ci38389224,2018-12-10T16:50:59.060Z,"20km ENE of Little Lake, CA",earthquake,0.15,0.24,0.156,70,reviewed,ci,ci
2018-12-11T12:09:28.710Z,35.3725,-117.8563333,2.02,2.69,ml,42,40,0.1052,0.18,ci,ci38391784,2018-12-11T20:12:09.168Z,"20km W of Johannesburg, CA",earthquake,0.18,0.43,0.173,100,reviewed,ci,ci
2018-12-12T10:09:40.240Z,35.964,-117.991,5.11,2.12,ml,31,61,0.09253,0.09,ci,ci38393120,2018-12-12T16:54:49.750Z,"8km WNW of Little Lake, CA",earthquake,0.13,0.59,0.224,48,reviewed,ci,ci
2018-12-15T18:17:11.400Z,36.2653333,-118.3046667,2.52,2.2,ml,26,62,0.2514,0.21,ci,ci38164183,2018-12-17T18:02:30.018Z,"27km W of Olancha, CA",earthquake,0.27,1.62,0.201,32,reviewed,ci,ci
2018-12-15T18:17:12.560Z,36.281,-118.3005,-1.53,2.19,ml,20,107,0.2383,0.35,ci,ci37201988,2018-12-17T18:10:22.067Z,"26km W of Olancha, CA",earthquake,0.87,3.14,0.15,21,reviewed,ci,ci
2018-12-17T18:02:39.570Z,36.094,-117.882,4.09,2.62,ml,36,57,0.0322,0.15,ci,ci38165335,2018-12-18T02:05:27.468Z,"8km NE of Coso Junction, CA",earthquake,0.16,0.3,0.164,25,reviewed,ci,ci
