time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-01T13:57:05.760Z,35.9833333,-117.3155,2.67,2.71,ml,48.0,53,0.09582,0.18,ci,ci39019863,2024-10-14T22:53:28.180Z,"25km NNE of Trona, CA",earthquake,0.18,0.55,0.103,27,reviewed,ci,ci
2020-01-01T17:23:05.770Z,35.9876667,-117.3228333,1.95,2.24,ml,34.0,54,0.1017,0.18,ci,ci39019975,2020-01-02T23:46:23.642Z,"25km NNE of Trona, CA",earthquake,0.2,0.48,0.14,23,reviewed,ci,ci
2020-01-01T19:42:21.420Z,35.9885,-117.3173333,1.93,2.34,ml,34.0,69,0.1012,0.17,ci,ci39020063,2020-01-02T23:53:00.679Z,"26km NNE of Trona, CA",earthquake,0.19,0.5,0.098,24,reviewed,ci,ci
2020-01-02T12:10:32.980Z,35.6806667,-117.5131667,9.81,2.31,ml,40.0,55,0.07415,0.15,ci,ci39020727,2020-01-03T15:26:01.670Z,"14km SW of Searles Valley, CA",earthquake,0.15,0.3,0.157,24,reviewed,ci,ci
2020-01-02T15:19:04.000Z,35.7906667,-117.6103333,3.13,2.24,ml,32.0,57,0.0271,0.14,ci,ci39020911,2020-01-03T15:33:07.000Z,"19km W of Searles Valley, CA",earthquake,0.14,0.3,0.134,23,reviewed,ci,ci
2020-01-02T20:15:35.380Z,35.7806667,-117.5986667,7.29,2.2,ml,42.0,44,0.03501,0.13,ci,ci39021223,2020-01-06T16:58:59.270Z,"18km W of Searles Valley, CA",earthquake,0.11,0.38,0.163,24,reviewed,ci,ci
2020-01-02T22:07:15.500Z,35.6941667,-117.5226667,6.98,2.25,ml,46.0,56,0.0813,0.13,ci,ci39021351,2020-01-06T17:44:31.150Z,"14km SW of Searles Valley, CA",earthquake,0.11,0.29,0.122,24,reviewed,ci,ci
2020-01-03T01:01:28.980Z,36.1381667,-117.8666667,2.46,2.3,ml,37.0,55,0.02266,0.14,ci,ci39021535,2020-01-06T18:07:43.380Z,"13km NE of Coso Junction, CA",earthquake,0.15,0.22,0.173,25,reviewed,ci,ci
2020-01-03T05:48:05.430Z,35.7928333,-117.6163333,5.37,3.14,ml,51.0,30,0.02607,0.16,ci,ci39021735,2021-10-12T20:47:25.180Z,"19km W of Searles Valley, CA",earthquake,0.15,0.38,0.12,89,reviewed,ci,ci
2020-01-03T19:56:01.500Z,35.612,-117.4891667,6.13,2.22,ml,46.0,43,0.01268,0.12,ci,ci39022503,2020-01-06T19:23:33.110Z,"17km E of Ridgecrest, CA",earthquake,0.11,0.24,0.183,24,reviewed,ci,ci
