time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-02T03:49:59.540Z,36.393,-117.8561667,0.68,2.56,ml,30,51,0.1628,0.16,ci,ci37845255,2018-01-03T16:26:22.671Z,"18km NE of Olancha, CA",earthquake,0.19,0.5,0.134,65,reviewed,ci,ci
2018-01-03T16:07:59.330Z,35.2791667,-118.3426667,5.31,2.7,ml,59,33,0.06505,0.14,ci,ci37846127,2018-01-08T17:43:55.920Z,"19km NNE of Tehachapi, CA",earthquake,0.12,0.52,0.179,153,reviewed,ci,ci
2018-01-09T13:47:17.070Z,36.2208333,-117.9061667,2.03,2.43,ml,21,95,0.1111,0.14,ci,ci37849743,2018-01-09T17:12:31.617Z,"11km SE of Olancha, CA",earthquake,0.21,0.42,0.123,47,reviewed,ci,ci
2018-01-15T05:29:17.140Z,36.0361667,-117.83,1.74,2.48,ml,30,51,0.0536,0.16,ci,ci38087696,2018-01-16T16:04:03.499Z,"11km E of Coso Junction, CA",earthquake,0.17,0.2,0.164,77,reviewed,ci,ci
2018-01-16T01:51:28.720Z,36.0798333,-117.912,6.27,2.15,ml,28,59,0.05967,0.12,ci,ci38088240,2018-01-16T16:37:20.530Z,"5km NE of Coso Junction, CA",earthquake,0.15,0.3,0.15,34,reviewed,ci,ci
2018-01-21T09:55:32.680Z,36.1101667,-117.6551667,2.98,2.1,ml,28,43,0.1443,0.12,ci,ci38090072,2018-01-22T17:43:49.360Z,"27km ENE of Coso Junction, CA",earthquake,0.14,0.51,0.116,34,reviewed,ci,ci
2018-01-26T01:04:45.410Z,36.0221667,-117.7773333,1.68,2.45,ml,34,44,0.04712,0.13,ci,ci38092864,2018-01-26T01:46:37.544Z,"15km NE of Little Lake, CA",earthquake,0.13,0.21,0.146,25,reviewed,ci,ci
2018-02-13T04:08:49.710Z,36.1805,-117.8533333,1.69,2.13,ml,33,53,0.0628,0.11,ci,ci38107472,2018-02-20T19:11:35.297Z,"17km NNE of Coso Junction, CA",earthquake,0.15,0.26,0.114,24,reviewed,ci,ci
2018-02-14T02:37:14.490Z,36.034,-117.3438333,2.54,2.4,ml,39,48,0.1201,0.16,ci,ci38108160,2018-02-20T18:59:15.986Z,"30km N of Searles Valley, CA",earthquake,0.17,0.78,0.095,25,reviewed,ci,ci
2018-02-15T11:35:24.050Z,36.1803333,-117.851,1.9,3.31,ml,33,53,0.0627,0.14,ci,ci38109320,2018-05-15T06:29:08.040Z,"17km NNE of Coso Junction, CA",earthquake,0.14,0.28,0.142,274,reviewed,ci,ci
2018-02-18T15:21:15.430Z,35.8311667,-117.726,3.58,2.15,ml,32,53,0.03882,0.12,ci,ci38111520,2018-02-20T19:06:56.731Z,"20km SE of Little Lake, CA",earthquake,0.12,0.32,0.129,52,reviewed,ci,ci
2018-02-24T02:39:20.940Z,36.2278333,-117.4021667,2.08,2.77,ml,28,47,0.1835,0.13,ci,ci38114680,2018-02-26T16:27:31.496Z,"48km SSW of Stovepipe Wells, CA",earthquake,0.19,0.77,0.159,78,reviewed,ci,ci
2018-02-26T08:26:04.950Z,36.233,-117.5746667,1.57,2.03,ml,33,40,0.08598,0.16,ci,ci38116064,2018-02-27T01:13:04.990Z,"39km E of Olancha, CA",earthquake,0.2,0.43,0.162,25,reviewed,ci,ci
2018-02-26T22:12:15.860Z,35.9448333,-117.2991667,4.71,2.15,ml,32,61,0.05529,0.13,ci,ci38116392,2018-02-27T01:42:44.970Z,"21km NNE of Trona, CA",earthquake,0.17,0.57,0.095,24,reviewed,ci,ci
2018-03-01T05:25:37.180Z,35.1413333,-117.0928333,3.58,2.83,ml,39,34,0.2131,0.16,ci,ci37885063,2018-03-01T20:01:28.110Z,"28km NNW of Barstow, CA",earthquake,0.15,0.89,0.147,139,reviewed,ci,ci
2018-03-02T16:55:04.850Z,36.0371667,-117.3433333,2.5,2.52,ml,28,49,0.1199,0.18,ci,ci37886839,2018-03-02T17:33:32.424Z,"30km N of Searles Valley, CA",earthquake,0.21,0.87,0.168,58,reviewed,ci,ci
2018-03-03T03:53:26.560Z,36.1048333,-117.7666667,6.99,2.34,ml,33,43,0.07254,0.14,ci,ci37887047,2018-03-05T15:51:24.546Z,"18km ENE of Coso Junction, CA",earthquake,0.15,0.38,0.172,45,reviewed,ci,ci
