time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-02-10T17:00:07.600Z,38.0678333,-120.4043333,-0.916,2.08,md,15,73,0.03604,0.24,nc,nc72391565,2017-02-07T05:18:12.549Z,"3 km N of Columbia, California",quarry blast,0.62,31.61,0.17,12,reviewed,nc,nc
2015-02-10T21:08:36.420Z,35.4065,-116.259,-1.097,1.59,ml,7,205,0.6711,0.28,ci,ci37314872,2016-03-11T17:12:23.344Z,"23km NW of Baker, CA",quarry blast,1.01,31.61,0.274,3,reviewed,ci,ci
2015-02-10T21:33:11.150Z,34.325,-116.9326667,-1.749,1.62,ml,39,55,0.06332,0.16,ci,ci37314880,2016-03-11T22:59:12.682Z,"9km NNW of Big Bear Lake, CA",quarry blast,0.32,31.61,0.1,48,reviewed,ci,ci
2015-02-11T20:14:12.350Z,37.3241667,-122.099,-0.383,1.76,md,33,34,0.04324,0.07,nc,nc72392250,2017-02-07T05:30:59.657Z,"3 km S of Loyola, California",quarry blast,0.15,31.61,0.286,28,reviewed,nc,nc
2015-02-12T19:38:19.080Z,37.989,-122.4518333,-0.193,1.56,md,16,147,0.06757,0.09,nc,nc72392975,2017-02-07T05:40:42.484Z,"6 km E of Santa Venetia, California",quarry blast,0.38,31.61,0.058,10,reviewed,nc,nc
2015-02-12T22:07:41.330Z,33.863,-117.5021667,-0.552,1.62,ml,29,51,0.05062,0.15,ci,ci37315824,2016-03-12T06:27:19.983Z,"2km SE of Home Gardens, CA",quarry blast,0.33,31.61,0.137,46,reviewed,ci,ci
2015-02-16T00:24:07.230Z,35.041,-117.6565,-0.807,1.63,ml,24,62,0.1113,0.2,ci,ci37317112,2016-03-11T22:59:33.335Z,"5km N of Boron, CA",quarry blast,0.33,0.92,0.123,31,reviewed,ci,ci
2015-02-17T21:25:53.780Z,39.5831667,-121.56,0.87,1.86,md,12,129,0.05405,0.06,nc,nc72396355,2017-02-07T06:29:32.839Z,"7 km SSW of Cherokee, California",quarry blast,0.49,9.01,0.197,12,reviewed,nc,nc
2015-02-18T20:42:06.710Z,37.3225,-122.1005,-0.321,1.63,md,28,54,0.01261,0.06,nc,nc72396905,2022-07-27T21:56:44.893Z,"3 km S of Loyola, California",quarry blast,0.14,31.61,0.238,22,reviewed,nc,nc
2015-02-19T21:47:41.540Z,33.8518333,-117.5038333,1.358,1.6,ml,40,59,0.05325,0.31,ci,ci37318992,2016-03-12T02:43:33.671Z,"3km SSE of Home Gardens, CA",quarry blast,0.33,0.7,0.178,67,reviewed,ci,ci
2015-02-21T00:36:41.760Z,34.3248333,-116.9363333,-1.749,1.92,ml,47,39,0.0637,0.15,ci,ci37098655,2016-03-11T13:28:57.129Z,"9km NNW of Big Bear Lake, CA",quarry blast,0.27,31.61,0.185,91,reviewed,ci,ci
2015-02-24T21:39:55.540Z,37.3228333,-122.1018333,-0.383,1.62,md,10,169,0.04144,0.05,nc,nc72400960,2017-02-07T07:41:11.786Z,"3 km S of Loyola, California",quarry blast,0.34,31.61,0.371,9,reviewed,nc,nc
2015-02-25T19:39:10.480Z,33.0715,-115.0013333,-0.191,1.75,ml,5,155,0.1009,0.14,ci,ci37102887,2016-03-11T17:13:46.089Z,"46km NE of Holtville, CA",quarry blast,1.3,31.61,0.094,1,reviewed,ci,ci
2015-02-25T22:01:42.580Z,33.8608333,-117.5033333,-0.552,1.67,ml,45,50,0.05028,0.14,ci,ci37103063,2016-03-11T08:08:55.192Z,"2km SE of Home Gardens, CA",quarry blast,0.29,31.61,0.138,53,reviewed,ci,ci
2015-02-27T19:04:05.750Z,33.0708333,-114.995,-0.185,1.75,ml,7,132,0.09936,0.08,ci,ci37104975,2016-03-11T11:42:19.035Z,"46km NE of Holtville, CA",quarry blast,0.75,31.61,0.156,3,reviewed,ci,ci
2015-03-01T23:02:41.040Z,35.0371667,-117.6825,-0.827,1.53,ml,16,108,0.1032,0.12,ci,ci37106311,2016-03-11T11:42:33.168Z,"5km NW of Boron, CA",quarry blast,0.57,31.61,0.196,23,reviewed,ci,ci
2015-03-03T18:51:25.680Z,35.1478333,-118.3955,-0.747,1.52,ml,10,97,0.1446,0.06,ci,ci37107735,2016-03-11T21:11:47.035Z,"5km ENE of Tehachapi, CA",quarry blast,0.55,31.61,0.09,4,reviewed,ci,ci
2015-03-04T00:25:45.730Z,35.0438333,-117.6698333,-0.827,1.57,ml,12,113,0.1113,0.08,ci,ci37108151,2016-03-11T11:42:38.185Z,"5km NNW of Boron, CA",quarry blast,0.62,31.61,0.157,19,reviewed,ci,ci
2015-03-05T19:01:26.900Z,33.1248333,-115.0191667,-0.183,2.06,ml,4,275,0.1561,0.19,ci,ci37110159,2016-03-11T23:01:10.658Z,"46km E of Calipatria, CA",quarry blast,1.83,31.61,0.055,1,reviewed,ci,ci
